term,estimate,std.error,statistic,p.value,coef,lci,uci,coef_ci
(Intercept),-1.2471680931910063,0.1979724118387558,-6.299706517728326,3.4242325299879726e-10,0.2873173016711777,0.19491455023225093,0.42352524088757043,"0.29 (0.19, 0.42)"
sexMale,0.18611161015333225,0.060582350128009596,3.0720434212288104,0.002145298173545149,1.2045566936327057,1.0696914088164873,1.356425616038838,"1.2 (1.07, 1.36)"
hscompletion,-0.031072494584905068,0.09422241656904122,-0.3297781538232654,0.7415908991400066,0.969405293894241,0.8059380253475061,1.1660283970656153,"0.97 (0.81, 1.17)"
residenceUrban,0.26418541031484716,0.0742306316095182,3.558981037701046,3.7814036617248573e-4,1.3023696466827457,1.126024595084282,1.5063318368046685,"1.3 (1.13, 1.51)"
factor(swealthq_ur)2,0.02428550835233868,0.1113415675613894,0.21811717657871665,0.8273528296740555,1.0245828030830948,0.8237040600000821,1.2744503412712416,"1.02 (0.82, 1.27)"
factor(swealthq_ur)3,0.08201860932472932,0.11886141073009873,0.6900356374784312,0.4902257998919284,1.0854760096171452,0.8598909021849012,1.3702414625628883,"1.09 (0.86, 1.37)"
factor(swealthq_ur)4,0.1728609574853906,0.11255260953812839,1.5358236312311544,0.12468837518956513,1.1887008136427826,0.9533795774393108,1.4821060339368985,"1.19 (0.95, 1.48)"
factor(swealthq_ur)5,0.24370086095038657,0.11340533262828535,2.1489365209057474,0.03172018584282361,1.2759625831600658,1.021657602765131,1.593567658301651,"1.28 (1.02, 1.59)"
age_category_youth20-24,-0.06553447494205465,0.10792977962860024,-0.6071954855051767,0.543767698275033,0.9365667581183401,0.7579962481561312,1.1572053219867937,"0.94 (0.76, 1.16)"
age_category_youth25 and above,0.002814659349110053,0.09842738566460242,0.02859630305229465,0.977188485794902,1.0028186242217851,0.8268739478513534,1.21620132754123,"1 (0.83, 1.22)"
anyhistory,-0.7944368038349546,0.16894732521315006,-4.702275119376198,2.6903660600886774e-6,0.451835635374262,0.32446631267313075,0.6292038138323791,"0.45 (0.32, 0.63)"
factor(state)2,-0.2009388135337266,0.2974195477433833,-0.675607286267205,0.4993427186697357,0.817962478256342,0.4566303273635042,1.465217213447683,"0.82 (0.46, 1.47)"
factor(state)3,-0.05810270900168561,0.21539679900225575,-0.2697473187662233,0.7873734320425814,0.9435530310699335,0.6186098875865985,1.4391821732992067,"0.94 (0.62, 1.44)"
factor(state)5,0.17426343527645105,0.22866589507429416,0.7620875654405411,0.4460683801465284,1.1903691097347873,0.7603915970931586,1.8634853709952166,"1.19 (0.76, 1.86)"
factor(state)6,-0.3126669693306284,0.2091464057661284,-1.494966973901807,0.1350295151446164,0.7314934817724991,0.48549129342135966,1.1021468791022235,"0.73 (0.49, 1.1)"
factor(state)7,0.15075271557636863,0.20357614309186498,0.740522505666789,0.4590416659353965,1.1627091026789926,0.780159787207955,1.732840476552575,"1.16 (0.78, 1.73)"
factor(state)8,-0.22330174958064233,0.20237670839526628,-1.1033964894048327,0.2699445945638499,0.7998734513970027,0.5379659030628537,1.1892901289972682,"0.8 (0.54, 1.19)"
factor(state)9,-0.3758257945341131,0.16596701841075528,-2.264460723177986,0.023617733945528775,0.6867219533405601,0.4960288688525551,0.9507249896377583,"0.69 (0.5, 0.95)"
factor(state)10,-0.6166278659539925,0.2092277808148787,-2.9471605708974886,0.0032320885384695608,0.5397615203489773,0.3581819016873962,0.8133925736530068,"0.54 (0.36, 0.81)"
factor(state)11,-0.4166037292150215,0.5088476238103711,-0.8187200052058697,0.41301199845439296,0.6592821224314235,0.24318201772888765,1.7873563227123839,"0.66 (0.24, 1.79)"
factor(state)12,-0.5887089518888713,0.25968005514419773,-2.267054940210819,0.023458608751897654,0.5550434101050941,0.33364362055988894,0.9233600408247354,"0.56 (0.33, 0.92)"
factor(state)13,-0.08641027030907254,0.3771549108853435,-0.2291108184332819,0.8187985921675883,0.9172178467662677,0.4379572852400251,1.920937513267933,"0.92 (0.44, 1.92)"
factor(state)14,-1.8769717540482733,0.7735505185569814,-2.426437199666891,0.015307162693714385,0.15305288648018955,0.03360330780033542,0.6971095285947999,"0.15 (0.03, 0.7)"
factor(state)15,-0.5460645797652235,0.6113277663005452,-0.8932435427720511,0.3717992819340179,0.5792248239697706,0.17477305037299282,1.9196403334884848,"0.58 (0.17, 1.92)"
factor(state)16,-0.19445044288639973,0.3358615811857742,-0.5789600650359705,0.5626601126787728,0.823286976971825,0.4262457837152251,1.5901657502476214,"0.82 (0.43, 1.59)"
factor(state)17,-0.20835246093376772,0.2996711080837328,-0.6952704325288201,0.48694034284153553,0.8119208159051563,0.45126170402319987,1.4608272880745132,"0.81 (0.45, 1.46)"
factor(state)18,-0.01539581343748099,0.18726864047785308,-0.08221244837467458,0.9344833256824873,0.9847220962176597,0.6821932191181848,1.4214119689326796,"0.98 (0.68, 1.42)"
factor(state)19,0.24819092645746013,0.18640951535513284,1.331428419759722,0.18315047100664086,1.2817046201572118,0.8894324434729382,1.8469831468232532,"1.28 (0.89, 1.85)"
factor(state)20,-1.2926502326123908,0.2804506046944203,-4.60919039208657,4.21325629931685e-6,0.27454221734395695,0.15844727072728712,0.4757003939428287,"0.27 (0.16, 0.48)"
factor(state)21,-0.030419730536180453,0.2100016894003156,-0.14485469437435267,0.884835446386584,0.9700382933959205,0.6427348255428013,1.4640163458698539,"0.97 (0.64, 1.46)"
factor(state)22,-0.38713630999514814,0.22942233653637045,-1.6874394875399379,0.09162409177597051,0.6789985343313927,0.4330924386402898,1.064527958676972,"0.68 (0.43, 1.06)"
factor(state)23,0.15026417236926787,0.18361125977498322,0.8183821218449108,0.4132048145715489,1.1621412077769382,0.8108972755767547,1.6655280853578394,"1.16 (0.81, 1.67)"
factor(state)24,0.17769059997271688,0.18238794680296636,0.9742453001276229,0.3300142583836747,1.194455699431259,0.8354458239140998,1.7077401993818728,"1.19 (0.84, 1.71)"
factor(state)25,1.046898497814357,0.15651474346523656,6.688817134002991,2.678941525864656e-11,2.848801837000632,2.0962071666445126,3.871598206340108,"2.85 (2.1, 3.87)"
factor(state)27,0.5203215623364651,0.18398435217373976,2.828075084587172,0.004714330771000712,1.6825686134120388,1.1731732207893764,2.4131450400260848,"1.68 (1.17, 2.41)"
factor(state)28,0.4635201708178454,0.1806031915397138,2.566511515472967,0.010321416543457619,1.5896600221439197,1.1157623747099097,2.2648361723611754,"1.59 (1.12, 2.26)"
factor(state)29,0.4541616415527634,0.1773179572531072,2.561283970266384,0.010477684711592118,1.5748525385119587,1.112509690226939,2.229338350798218,"1.57 (1.11, 2.23)"
