variable,estimate,lci,uci,type,est_ci
dm_screened,22.2,21.9,22.5,Proportion,"22.2 (21.9, 22.5)"
dm_disease,1.2,1.1,1.3,Proportion,"1.2 (1.1, 1.3)"
dm_diagnosed,0.9,0.9,1,Proportion,"0.9 (0.9, 1)"
dm_treated,0.3,0.3,0.3,Proportion,"0.3 (0.3, 0.3)"
dm_controlled,0.8,0.8,0.9,Proportion,"0.8 (0.8, 0.9)"
htn_screened,50.9,50.6,51.3,Proportion,"50.9 (50.6, 51.3)"
htn_disease,10.8,10.6,11,Proportion,"10.8 (10.6, 11)"
htn_diagnosed,3.4,3.3,3.5,Proportion,"3.4 (3.3, 3.5)"
htn_treated,0.6,0.5,0.6,Proportion,"0.6 (0.5, 0.6)"
htn_controlled,3,2.9,3.1,Proportion,"3 (2.9, 3.1)"
