state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
1,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",44116,NA,NA,Jammu & Kashmir,North
1,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",44116,NA,NA,Jammu & Kashmir,North
1,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",44116,NA,NA,Jammu & Kashmir,North
1,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",44116,NA,NA,Jammu & Kashmir,North
1,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",44116,NA,NA,Jammu & Kashmir,North
1,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",9935,NA,NA,Jammu & Kashmir,North
1,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",9935,NA,NA,Jammu & Kashmir,North
1,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",9935,NA,NA,Jammu & Kashmir,North
1,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",9935,NA,NA,Jammu & Kashmir,North
1,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",9935,NA,NA,Jammu & Kashmir,North
2,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",24969,NA,NA,Himachal Pradesh,North
2,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",24969,NA,NA,Himachal Pradesh,North
2,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",24969,NA,NA,Himachal Pradesh,North
2,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",24969,NA,NA,Himachal Pradesh,North
2,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",24969,NA,NA,Himachal Pradesh,North
2,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",2087,NA,NA,Himachal Pradesh,North
2,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",2087,NA,NA,Himachal Pradesh,North
2,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",2087,NA,NA,Himachal Pradesh,North
2,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",2087,NA,NA,Himachal Pradesh,North
2,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",2087,NA,NA,Himachal Pradesh,North
3,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",34594,NA,NA,Punjab,North
3,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",34594,NA,NA,Punjab,North
3,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",34594,NA,NA,Punjab,North
3,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",34594,NA,NA,Punjab,North
3,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",34594,NA,NA,Punjab,North
3,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",15209,NA,NA,Punjab,North
3,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",15209,NA,NA,Punjab,North
3,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",15209,NA,NA,Punjab,North
3,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",15209,NA,NA,Punjab,North
3,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",15209,NA,NA,Punjab,North
4,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",44,NA,NA,Chandigarh,North
4,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",44,NA,NA,Chandigarh,North
4,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",44,NA,NA,Chandigarh,North
4,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",44,NA,NA,Chandigarh,North
4,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",44,NA,NA,Chandigarh,North
4,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",1307,NA,NA,Chandigarh,North
4,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",1307,NA,NA,Chandigarh,North
4,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",1307,NA,NA,Chandigarh,North
4,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",1307,NA,NA,Chandigarh,North
4,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",1307,NA,NA,Chandigarh,North
5,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",22928,NA,NA,Uttarakhand,Central
5,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",22928,NA,NA,Uttarakhand,Central
5,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",22928,NA,NA,Uttarakhand,Central
5,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",22928,NA,NA,Uttarakhand,Central
5,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",22928,NA,NA,Uttarakhand,Central
5,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",4888,NA,NA,Uttarakhand,Central
5,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",4888,NA,NA,Uttarakhand,Central
5,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",4888,NA,NA,Uttarakhand,Central
5,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",4888,NA,NA,Uttarakhand,Central
5,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",4888,NA,NA,Uttarakhand,Central
6,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",34499,NA,NA,Haryana,North
6,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",34499,NA,NA,Haryana,North
6,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",34499,NA,NA,Haryana,North
6,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",34499,NA,NA,Haryana,North
6,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",34499,NA,NA,Haryana,North
6,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",14942,NA,NA,Haryana,North
6,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",14942,NA,NA,Haryana,North
6,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",14942,NA,NA,Haryana,North
6,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",14942,NA,NA,Haryana,North
6,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",14942,NA,NA,Haryana,North
7,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",820,NA,NA,Nct Of Delhi,North
7,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",820,NA,NA,Nct Of Delhi,North
7,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",820,NA,NA,Nct Of Delhi,North
7,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",820,NA,NA,Nct Of Delhi,North
7,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",820,NA,NA,Nct Of Delhi,North
7,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",20521,NA,NA,Nct Of Delhi,North
7,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",20521,NA,NA,Nct Of Delhi,North
7,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",20521,NA,NA,Nct Of Delhi,North
7,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",20521,NA,NA,Nct Of Delhi,North
7,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",20521,NA,NA,Nct Of Delhi,North
8,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",74638,NA,NA,Rajasthan,North
8,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",74638,NA,NA,Rajasthan,North
8,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",74638,NA,NA,Rajasthan,North
8,Rural,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",74638,NA,NA,Rajasthan,North
8,Rural,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",74638,NA,NA,Rajasthan,North
8,Urban,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",20738,NA,NA,Rajasthan,North
8,Urban,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",20738,NA,NA,Rajasthan,North
8,Urban,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",20738,NA,NA,Rajasthan,North
8,Urban,dm_treated,NA,NA,NA,Proportion,"NA (NaN, NaN)",20738,NA,NA,Rajasthan,North
8,Urban,dm_controlled,NA,NA,NA,Proportion,"NA (NaN, NaN)",20738,NA,NA,Rajasthan,North
9,Rural,dm_screened,NA,NA,NA,Proportion,"NA (NaN, NaN)",155168,NA,NA,Uttar Pradesh,Central
9,Rural,dm_disease,NA,NA,NA,Proportion,"NA (NaN, NaN)",155168,NA,NA,Uttar Pradesh,Central
9,Rural,dm_diagnosed,NA,NA,NA,Proportion,"NA (NaN, NaN)",155168,NA,NA,Uttar Pradesh,Central
