state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
1,Rural,dm_screened,96.2,94.6,97.7,Proportion,"96.2 (94.6, 97.7)",1828,,NA,Jammu & Kashmir,North
1,Rural,dm_diagnosed,89.8,86.9,92.8,Proportion,"89.8 (86.9, 92.8)",1828,,NA,Jammu & Kashmir,North
1,Urban,dm_screened,96.1,94,98.2,Proportion,"96.1 (94, 98.2)",501,,NA,Jammu & Kashmir,North
1,Urban,dm_diagnosed,91.3,87.4,95.2,Proportion,"91.3 (87.4, 95.2)",501,,NA,Jammu & Kashmir,North
2,Rural,dm_screened,86.8,81.5,92.1,Proportion,"86.8 (81.5, 92.1)",1336,,NA,Himachal Pradesh,North
2,Rural,dm_diagnosed,75.9,70.1,81.7,Proportion,"75.9 (70.1, 81.7)",1336,,NA,Himachal Pradesh,North
2,Urban,dm_screened,93.7,87.9,99.4,Proportion,"93.7 (87.9, 99.4)",178,,NA,Himachal Pradesh,North
2,Urban,dm_diagnosed,76.6,63.9,89.2,Proportion,"76.6 (63.9, 89.2)",178,,NA,Himachal Pradesh,North
3,Rural,dm_screened,87.5,84.6,90.3,Proportion,"87.5 (84.6, 90.3)",2277,,NA,Punjab,North
3,Rural,dm_diagnosed,66.6,61.8,71.5,Proportion,"66.6 (61.8, 71.5)",2277,,NA,Punjab,North
3,Urban,dm_screened,88,84.4,91.6,Proportion,"88 (84.4, 91.6)",1265,,NA,Punjab,North
3,Urban,dm_diagnosed,72.5,67.5,77.5,Proportion,"72.5 (67.5, 77.5)",1265,,NA,Punjab,North
4,Rural,dm_screened,65.2,52.6,77.9,Proportion,"65.2 (52.6, 77.9)",5,,NA,Chandigarh,North
4,Rural,dm_diagnosed,62.2,49.3,75.1,Proportion,"62.2 (49.3, 75.1)",5,,NA,Chandigarh,North
4,Urban,dm_screened,85.8,73.9,97.7,Proportion,"85.8 (73.9, 97.7)",125,,NA,Chandigarh,North
4,Urban,dm_diagnosed,67.5,45.7,89.2,Proportion,"67.5 (45.7, 89.2)",125,,NA,Chandigarh,North
5,Rural,dm_screened,84.4,78.4,90.5,Proportion,"84.4 (78.4, 90.5)",961,,NA,Uttarakhand,Central
5,Rural,dm_diagnosed,71.7,63.8,79.6,Proportion,"71.7 (63.8, 79.6)",961,,NA,Uttarakhand,Central
5,Urban,dm_screened,72.8,60.9,84.8,Proportion,"72.8 (60.9, 84.8)",444,,NA,Uttarakhand,Central
5,Urban,dm_diagnosed,63.1,51,75.2,Proportion,"63.1 (51, 75.2)",444,,NA,Uttarakhand,Central
6,Rural,dm_screened,84.2,79.8,88.7,Proportion,"84.2 (79.8, 88.7)",1730,,NA,Haryana,North
6,Rural,dm_diagnosed,71.9,66.1,77.8,Proportion,"71.9 (66.1, 77.8)",1730,,NA,Haryana,North
6,Urban,dm_screened,88.3,83,93.6,Proportion,"88.3 (83, 93.6)",1209,,NA,Haryana,North
6,Urban,dm_diagnosed,79.9,74.1,85.7,Proportion,"79.9 (74.1, 85.7)",1209,,NA,Haryana,North
7,Rural,dm_screened,98,94.5,101.4,Proportion,"98 (94.5, 101.4)",38,,NA,Nct Of Delhi,North
7,Rural,dm_diagnosed,70.8,41.2,100.5,Proportion,"70.8 (41.2, 100.5)",38,,NA,Nct Of Delhi,North
7,Urban,dm_screened,86,81.6,90.4,Proportion,"86 (81.6, 90.4)",1651,,NA,Nct Of Delhi,North
7,Urban,dm_diagnosed,68.7,63.4,74,Proportion,"68.7 (63.4, 74)",1651,,NA,Nct Of Delhi,North
8,Rural,dm_screened,84.7,81,88.4,Proportion,"84.7 (81, 88.4)",1765,,NA,Rajasthan,North
8,Rural,dm_diagnosed,80,75.8,84.2,Proportion,"80 (75.8, 84.2)",1765,,NA,Rajasthan,North
8,Urban,dm_screened,89.4,85.6,93.3,Proportion,"89.4 (85.6, 93.3)",947,,NA,Rajasthan,North
8,Urban,dm_diagnosed,85.8,81.4,90.2,Proportion,"85.8 (81.4, 90.2)",947,,NA,Rajasthan,North
9,Rural,dm_screened,81.2,79,83.3,Proportion,"81.2 (79, 83.3)",6708,,NA,Uttar Pradesh,Central
9,Rural,dm_diagnosed,73.3,70.8,75.9,Proportion,"73.3 (70.8, 75.9)",6708,,NA,Uttar Pradesh,Central
9,Urban,dm_screened,81.9,77,86.7,Proportion,"81.9 (77, 86.7)",2036,,NA,Uttar Pradesh,Central
9,Urban,dm_diagnosed,70.7,65.2,76.1,Proportion,"70.7 (65.2, 76.1)",2036,,NA,Uttar Pradesh,Central
10,Rural,dm_screened,74.2,71.2,77.2,Proportion,"74.2 (71.2, 77.2)",3563,,NA,Bihar,East
10,Rural,dm_diagnosed,68.3,65,71.6,Proportion,"68.3 (65, 71.6)",3563,,NA,Bihar,East
10,Urban,dm_screened,84.8,80,89.7,Proportion,"84.8 (80, 89.7)",801,,NA,Bihar,East
10,Urban,dm_diagnosed,74.1,66.5,81.7,Proportion,"74.1 (66.5, 81.7)",801,,NA,Bihar,East
11,Rural,dm_screened,92.9,89,96.7,Proportion,"92.9 (89, 96.7)",301,,NA,Sikkim,North East
11,Rural,dm_diagnosed,80.7,72,89.4,Proportion,"80.7 (72, 89.4)",301,,NA,Sikkim,North East
11,Urban,dm_screened,87,76.4,97.5,Proportion,"87 (76.4, 97.5)",79,,NA,Sikkim,North East
11,Urban,dm_diagnosed,83.6,72.9,94.4,Proportion,"83.6 (72.9, 94.4)",79,,NA,Sikkim,North East
12,Rural,dm_screened,85.8,81.3,90.2,Proportion,"85.8 (81.3, 90.2)",1181,,NA,Arunachal Pradesh,North East
12,Rural,dm_diagnosed,80,74.4,85.6,Proportion,"80 (74.4, 85.6)",1181,,NA,Arunachal Pradesh,North East
12,Urban,dm_screened,89.8,85,94.6,Proportion,"89.8 (85, 94.6)",622,,NA,Arunachal Pradesh,North East
12,Urban,dm_diagnosed,80.6,73.5,87.6,Proportion,"80.6 (73.5, 87.6)",622,,NA,Arunachal Pradesh,North East
13,Rural,dm_screened,60.3,48.7,72,Proportion,"60.3 (48.7, 72)",372,,NA,Nagaland,North East
13,Rural,dm_diagnosed,47.5,36,58.9,Proportion,"47.5 (36, 58.9)",372,,NA,Nagaland,North East
13,Urban,dm_screened,85.6,77.3,93.8,Proportion,"85.6 (77.3, 93.8)",260,,NA,Nagaland,North East
13,Urban,dm_diagnosed,79.7,70.8,88.7,Proportion,"79.7 (70.8, 88.7)",260,,NA,Nagaland,North East
14,Rural,dm_screened,79.8,74.1,85.5,Proportion,"79.8 (74.1, 85.5)",664,,NA,Manipur,North East
14,Rural,dm_diagnosed,70.3,64.6,76.1,Proportion,"70.3 (64.6, 76.1)",664,,NA,Manipur,North East
14,Urban,dm_screened,80.3,75.3,85.2,Proportion,"80.3 (75.3, 85.2)",455,,NA,Manipur,North East
14,Urban,dm_diagnosed,70.2,64.4,75.9,Proportion,"70.2 (64.4, 75.9)",455,,NA,Manipur,North East
15,Rural,dm_screened,70.5,50.1,90.9,Proportion,"70.5 (50.1, 90.9)",371,,NA,Mizoram,North East
15,Rural,dm_diagnosed,66.7,47,86.4,Proportion,"66.7 (47, 86.4)",371,,NA,Mizoram,North East
15,Urban,dm_screened,94.2,91.3,97.1,Proportion,"94.2 (91.3, 97.1)",476,,NA,Mizoram,North East
