REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
1,dm_unscreened,0.6,-0.3,1.5,Proportion,"0.6 (-0.3, 1.5)",132,,NA,Jammu & Kashmir,1,Kupwara
1,dm_undiagnosed,2.2,-0.9,5.2,Proportion,"2.2 (-0.9, 5.2)",132,,NA,Jammu & Kashmir,1,Kupwara
2,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",120,,NA,Jammu & Kashmir,1,Badgam
2,dm_undiagnosed,1.4,-0.6,3.3,Proportion,"1.4 (-0.6, 3.3)",120,,NA,Jammu & Kashmir,1,Badgam
3,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",70,,NA,Ladakh,37,Leh
3,dm_undiagnosed,0.9,-0.9,2.7,Proportion,"0.9 (-0.9, 2.7)",70,,NA,Ladakh,37,Leh
4,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",322,,NA,Ladakh,37,Kargil
4,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",322,,NA,Ladakh,37,Kargil
5,dm_unscreened,2.9,-1.1,6.9,Proportion,"2.9 (-1.1, 6.9)",140,,NA,Jammu & Kashmir,1,Punch
5,dm_undiagnosed,5.9,0.9,10.9,Proportion,"5.9 (0.9, 10.9)",140,,NA,Jammu & Kashmir,1,Punch
6,dm_unscreened,3.4,-1.6,8.5,Proportion,"3.4 (-1.6, 8.5)",63,,NA,Jammu & Kashmir,1,Rajouri
6,dm_undiagnosed,4.2,-1,9.5,Proportion,"4.2 (-1, 9.5)",63,,NA,Jammu & Kashmir,1,Rajouri
7,dm_unscreened,16.2,4,28.5,Proportion,"16.2 (4, 28.5)",61,,NA,Jammu & Kashmir,1,Kathua
7,dm_undiagnosed,22.1,9,35.2,Proportion,"22.1 (9, 35.2)",61,,NA,Jammu & Kashmir,1,Kathua
8,dm_unscreened,4.7,0.7,8.8,Proportion,"4.7 (0.7, 8.8)",125,,NA,Jammu & Kashmir,1,Baramula
8,dm_undiagnosed,15.6,6.9,24.2,Proportion,"15.6 (6.9, 24.2)",125,,NA,Jammu & Kashmir,1,Baramula
9,dm_unscreened,6.7,0.7,12.6,Proportion,"6.7 (0.7, 12.6)",174,,NA,Jammu & Kashmir,1,Bandipore
9,dm_undiagnosed,10.9,3.6,18.3,Proportion,"10.9 (3.6, 18.3)",174,,NA,Jammu & Kashmir,1,Bandipore
10,dm_unscreened,5.6,-1.5,12.7,Proportion,"5.6 (-1.5, 12.7)",118,,NA,Jammu & Kashmir,1,Srinagar
10,dm_undiagnosed,6.6,-0.4,13.7,Proportion,"6.6 (-0.4, 13.7)",118,,NA,Jammu & Kashmir,1,Srinagar
11,dm_unscreened,2.3,-0.3,4.9,Proportion,"2.3 (-0.3, 4.9)",145,,NA,Jammu & Kashmir,1,Ganderbal
11,dm_undiagnosed,8.9,3,14.9,Proportion,"8.9 (3, 14.9)",145,,NA,Jammu & Kashmir,1,Ganderbal
12,dm_unscreened,0.1,-0.1,0.4,Proportion,"0.1 (-0.1, 0.4)",135,,NA,Jammu & Kashmir,1,Pulwama
12,dm_undiagnosed,4.5,-1.6,10.7,Proportion,"4.5 (-1.6, 10.7)",135,,NA,Jammu & Kashmir,1,Pulwama
13,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",125,,NA,Jammu & Kashmir,1,Shupiyan
13,dm_undiagnosed,1,-0.4,2.4,Proportion,"1 (-0.4, 2.4)",125,,NA,Jammu & Kashmir,1,Shupiyan
14,dm_unscreened,0.8,-0.7,2.2,Proportion,"0.8 (-0.7, 2.2)",95,,NA,Jammu & Kashmir,1,Anantnag
14,dm_undiagnosed,3.2,-0.1,6.5,Proportion,"3.2 (-0.1, 6.5)",95,,NA,Jammu & Kashmir,1,Anantnag
15,dm_unscreened,1.9,-1.1,5,Proportion,"1.9 (-1.1, 5)",57,,NA,Jammu & Kashmir,1,Kulgam
15,dm_undiagnosed,2.4,-0.8,5.5,Proportion,"2.4 (-0.8, 5.5)",57,,NA,Jammu & Kashmir,1,Kulgam
16,dm_unscreened,12.4,-4.7,29.6,Proportion,"12.4 (-4.7, 29.6)",67,,NA,Jammu & Kashmir,1,Doda
16,dm_undiagnosed,25.2,1.8,48.7,Proportion,"25.2 (1.8, 48.7)",67,,NA,Jammu & Kashmir,1,Doda
17,dm_unscreened,2,-1.1,5,Proportion,"2 (-1.1, 5)",135,,NA,Jammu & Kashmir,1,Ramban
17,dm_undiagnosed,3.3,-0.6,7.1,Proportion,"3.3 (-0.6, 7.1)",135,,NA,Jammu & Kashmir,1,Ramban
18,dm_unscreened,1.6,-0.3,3.6,Proportion,"1.6 (-0.3, 3.6)",131,,NA,Jammu & Kashmir,1,Kishtwar
18,dm_undiagnosed,2.5,-0,4.9,Proportion,"2.5 (0, 4.9)",131,,NA,Jammu & Kashmir,1,Kishtwar
19,dm_unscreened,2,-0.3,4.3,Proportion,"2 (-0.3, 4.3)",115,,NA,Jammu & Kashmir,1,Udhampur
19,dm_undiagnosed,3,0.2,5.8,Proportion,"3 (0.2, 5.8)",115,,NA,Jammu & Kashmir,1,Udhampur
20,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",67,,NA,Jammu & Kashmir,1,Reasi
20,dm_undiagnosed,0.9,-0.8,2.6,Proportion,"0.9 (-0.8, 2.6)",67,,NA,Jammu & Kashmir,1,Reasi
21,dm_unscreened,4.4,-1.1,10,Proportion,"4.4 (-1.1, 10)",125,,NA,Jammu & Kashmir,1,Jammu
21,dm_undiagnosed,13,3.6,22.4,Proportion,"13 (3.6, 22.4)",125,,NA,Jammu & Kashmir,1,Jammu
22,dm_unscreened,8.6,0.3,16.8,Proportion,"8.6 (0.3, 16.8)",119,,NA,Jammu & Kashmir,1,Samba
22,dm_undiagnosed,14.1,2.6,25.7,Proportion,"14.1 (2.6, 25.7)",119,,NA,Jammu & Kashmir,1,Samba
