strata,variable,estimate,lci,uci,type,est_ci,n,stratification,residence
Female,dm_controlled,51.9,50.2,53.5,Proportion,"51.9 (50.2, 53.5)",23624,sex,NA
Male,dm_controlled,51.5,49.8,53.2,Proportion,"51.5 (49.8, 53.2)",21379,sex,NA
18-39,dm_controlled,55.9,53.6,58.2,Proportion,"55.9 (53.6, 58.2)",3930,age_category,NA
40-64,dm_controlled,45.3,44.5,46.2,Proportion,"45.3 (44.5, 46.2)",27423,age_category,NA
65 plus,dm_controlled,54.8,53.6,56,Proportion,"54.8 (53.6, 56)",13650,age_category,NA
Higher,dm_controlled,57.3,54,60.7,Proportion,"57.3 (54, 60.7)",5447,education,NA
No education,dm_controlled,50.9,49,52.8,Proportion,"50.9 (49, 52.8)",12464,education,NA
Primary,dm_controlled,49.5,47,52.1,Proportion,"49.5 (47, 52.1)",8181,education,NA
Secondary,dm_controlled,50.4,48.6,52.2,Proportion,"50.4 (48.6, 52.2)",18911,education,NA
General,dm_controlled,51.5,49.3,53.7,Proportion,"51.5 (49.3, 53.7)",15298,caste,NA
OBC,dm_controlled,51.5,49.7,53.3,Proportion,"51.5 (49.7, 53.3)",19277,caste,NA
Schedule Caste,dm_controlled,50.7,48.2,53.2,Proportion,"50.7 (48.2, 53.2)",6934,caste,NA
Schedule Tribe,dm_controlled,61.3,57.5,65.1,Proportion,"61.3 (57.5, 65.1)",3494,caste,NA
Hindu,dm_controlled,52.3,51,53.7,Proportion,"52.3 (51, 53.7)",33953,religion,NA
Muslim,dm_controlled,49.1,45.9,52.3,Proportion,"49.1 (45.9, 52.3)",5656,religion,NA
Other,dm_controlled,49.7,45.4,53.9,Proportion,"49.7 (45.4, 53.9)",5394,religion,NA
1,dm_controlled,58.9,55.5,62.2,Proportion,"58.9 (55.5, 62.2)",3508,wealthq_ur,NA
2,dm_controlled,53.1,50.3,55.9,Proportion,"53.1 (50.3, 55.9)",5898,wealthq_ur,NA
3,dm_controlled,50.7,47.9,53.4,Proportion,"50.7 (47.9, 53.4)",8202,wealthq_ur,NA
4,dm_controlled,52,49.7,54.3,Proportion,"52 (49.7, 54.3)",11174,wealthq_ur,NA
5,dm_controlled,49.9,47.6,52.1,Proportion,"49.9 (47.6, 52.1)",16221,wealthq_ur,NA
NA,dm_controlled,52.9,51.4,54.5,Proportion,"52.9 (51.4, 54.5)",25580,,Rural
NA,dm_controlled,50.4,48.4,52.3,Proportion,"50.4 (48.4, 52.3)",19423,,Urban
Female,dm_controlled,53,51,55,Proportion,"53 (51, 55)",13269,sex,Rural
Male,dm_controlled,52.9,50.7,55.1,Proportion,"52.9 (50.7, 55.1)",12311,sex,Rural
Female,dm_controlled,50.8,48.1,53.4,Proportion,"50.8 (48.1, 53.4)",10355,sex,Urban
Male,dm_controlled,49.9,47.2,52.6,Proportion,"49.9 (47.2, 52.6)",9068,sex,Urban
18-39,dm_controlled,57.8,55.1,60.5,Proportion,"57.8 (55.1, 60.5)",2452,age_category,Rural
40-64,dm_controlled,45.5,44.4,46.6,Proportion,"45.5 (44.4, 46.6)",15402,age_category,Rural
65 plus,dm_controlled,54.8,53.4,56.3,Proportion,"54.8 (53.4, 56.3)",7726,age_category,Rural
18-39,dm_controlled,53.7,49.9,57.6,Proportion,"53.7 (49.9, 57.6)",1478,age_category,Urban
40-64,dm_controlled,45.2,43.8,46.5,Proportion,"45.2 (43.8, 46.5)",12021,age_category,Urban
65 plus,dm_controlled,54.7,52.9,56.6,Proportion,"54.7 (52.9, 56.6)",5924,age_category,Urban
Higher,dm_controlled,58.3,53.4,63.2,Proportion,"58.3 (53.4, 63.2)",1879,education,Rural
No education,dm_controlled,52.7,50.5,54.9,Proportion,"52.7 (50.5, 54.9)",8848,education,Rural
Primary,dm_controlled,51.2,47.9,54.5,Proportion,"51.2 (47.9, 54.5)",4994,education,Rural
Secondary,dm_controlled,52.1,49.8,54.5,Proportion,"52.1 (49.8, 54.5)",9859,education,Rural
Higher,dm_controlled,56.8,52.3,61.3,Proportion,"56.8 (52.3, 61.3)",3568,education,Urban
No education,dm_controlled,47.3,43.8,50.8,Proportion,"47.3 (43.8, 50.8)",3616,education,Urban
Primary,dm_controlled,47.3,43.6,51.1,Proportion,"47.3 (43.6, 51.1)",3187,education,Urban
Secondary,dm_controlled,48.5,45.8,51.3,Proportion,"48.5 (45.8, 51.3)",9052,education,Urban
General,dm_controlled,52.1,49.3,55,Proportion,"52.1 (49.3, 55)",8043,caste,Rural
OBC,dm_controlled,53.3,51.1,55.5,Proportion,"53.3 (51.1, 55.5)",10851,caste,Rural
Schedule Caste,dm_controlled,50.4,47.3,53.5,Proportion,"50.4 (47.3, 53.5)",4346,caste,Rural
Schedule Tribe,dm_controlled,65.2,61.2,69.1,Proportion,"65.2 (61.2, 69.1)",2340,caste,Rural
General,dm_controlled,50.9,47.7,54.2,Proportion,"50.9 (47.7, 54.2)",7255,caste,Urban
OBC,dm_controlled,49.5,46.7,52.4,Proportion,"49.5 (46.7, 52.4)",8426,caste,Urban
Schedule Caste,dm_controlled,51.1,47.1,55.2,Proportion,"51.1 (47.1, 55.2)",2588,caste,Urban
Schedule Tribe,dm_controlled,53.1,44.6,61.5,Proportion,"53.1 (44.6, 61.5)",1154,caste,Urban
Hindu,dm_controlled,53.9,52.2,55.5,Proportion,"53.9 (52.2, 55.5)",19439,religion,Rural
Muslim,dm_controlled,50.1,45.4,54.8,Proportion,"50.1 (45.4, 54.8)",2883,religion,Rural
Other,dm_controlled,48.3,43,53.7,Proportion,"48.3 (43, 53.7)",3258,religion,Rural
Hindu,dm_controlled,50.7,48.4,52.9,Proportion,"50.7 (48.4, 52.9)",14514,religion,Urban
Muslim,dm_controlled,48.2,43.8,52.7,Proportion,"48.2 (43.8, 52.7)",2773,religion,Urban
Other,dm_controlled,51.1,45.2,57,Proportion,"51.1 (45.2, 57)",2136,religion,Urban
1,dm_controlled,65.7,61.4,70,Proportion,"65.7 (61.4, 70)",1556,wealthq_ur,Rural
2,dm_controlled,59.4,55.5,63.3,Proportion,"59.4 (55.5, 63.3)",2670,wealthq_ur,Rural
3,dm_controlled,54.8,51.5,58.2,Proportion,"54.8 (51.5, 58.2)",4160,wealthq_ur,Rural
4,dm_controlled,52.4,49.6,55.1,Proportion,"52.4 (49.6, 55.1)",6481,wealthq_ur,Rural
5,dm_controlled,49,46.3,51.6,Proportion,"49 (46.3, 51.6)",10713,wealthq_ur,Rural
1,dm_controlled,54.2,49.4,59,Proportion,"54.2 (49.4, 59)",1952,wealthq_ur,Urban
2,dm_controlled,48.6,44.7,52.6,Proportion,"48.6 (44.7, 52.6)",3228,wealthq_ur,Urban
3,dm_controlled,47.3,43.3,51.4,Proportion,"47.3 (43.3, 51.4)",4042,wealthq_ur,Urban
4,dm_controlled,51.6,47.9,55.3,Proportion,"51.6 (47.9, 55.3)",4693,wealthq_ur,Urban
5,dm_controlled,51.3,47.1,55.5,Proportion,"51.3 (47.1, 55.5)",5508,wealthq_ur,Urban
