residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,dm_unscreened,21.3,20.3,22.3,Proportion,"21.3 (20.3, 22.3)",59354,,NA
Rural,dm_undiagnosed,33.7,32.6,34.8,Proportion,"33.7 (32.6, 34.8)",59354,,NA
Urban,dm_unscreened,14.3,13.4,15.3,Proportion,"14.3 (13.4, 15.3)",33909,,NA
Urban,dm_undiagnosed,27.5,26.3,28.8,Proportion,"27.5 (26.3, 28.8)",33909,,NA
Rural,dm_unscreened,19.8,18.6,21.1,Proportion,"19.8 (18.6, 21.1)",30411,sex,Female
Rural,dm_undiagnosed,31.3,29.9,32.8,Proportion,"31.3 (29.9, 32.8)",30411,sex,Female
Rural,dm_unscreened,23.1,21.9,24.3,Proportion,"23.1 (21.9, 24.3)",28943,sex,Male
Rural,dm_undiagnosed,36.6,35.2,38.1,Proportion,"36.6 (35.2, 38.1)",28943,sex,Male
Urban,dm_unscreened,12.6,11.3,13.8,Proportion,"12.6 (11.3, 13.8)",17717,sex,Female
Urban,dm_undiagnosed,25.7,24,27.3,Proportion,"25.7 (24, 27.3)",17717,sex,Female
Urban,dm_unscreened,16.5,15.1,17.9,Proportion,"16.5 (15.1, 17.9)",16192,sex,Male
Urban,dm_undiagnosed,29.8,28.1,31.4,Proportion,"29.8 (28.1, 31.4)",16192,sex,Male
Rural,dm_unscreened,23.8,22.2,25.4,Proportion,"23.8 (22.2, 25.4)",10619,age_category,18-39
Rural,dm_undiagnosed,36,34.2,37.8,Proportion,"36 (34.2, 37.8)",10619,age_category,18-39
Rural,dm_unscreened,19.2,18.5,19.8,Proportion,"19.2 (18.5, 19.8)",34343,age_category,40-64
Rural,dm_undiagnosed,32.1,31.3,32.9,Proportion,"32.1 (31.3, 32.9)",34343,age_category,40-64
Rural,dm_unscreened,14.3,13.5,15.1,Proportion,"14.3 (13.5, 15.1)",14392,age_category,65 plus
Rural,dm_undiagnosed,25.8,24.7,26.8,Proportion,"25.8 (24.7, 26.8)",14392,age_category,65 plus
Urban,dm_unscreened,21,18.9,23.1,Proportion,"21 (18.9, 23.1)",5124,age_category,18-39
Urban,dm_undiagnosed,34.8,32.2,37.3,Proportion,"34.8 (32.2, 37.3)",5124,age_category,18-39
Urban,dm_unscreened,10.6,9.9,11.3,Proportion,"10.6 (9.9, 11.3)",20398,age_category,40-64
Urban,dm_undiagnosed,24.3,23.4,25.3,Proportion,"24.3 (23.4, 25.3)",20398,age_category,40-64
Urban,dm_unscreened,6.4,5.6,7.3,Proportion,"6.4 (5.6, 7.3)",8387,age_category,65 plus
Urban,dm_undiagnosed,16.2,15,17.4,Proportion,"16.2 (15, 17.4)",8387,age_category,65 plus
Rural,dm_unscreened,15.4,13.5,17.2,Proportion,"15.4 (13.5, 17.2)",4727,education,Higher
Rural,dm_undiagnosed,26.8,24.6,29,Proportion,"26.8 (24.6, 29)",4727,education,Higher
Rural,dm_unscreened,26.2,24.2,28.2,Proportion,"26.2 (24.2, 28.2)",21435,education,No education
Rural,dm_undiagnosed,37.1,35,39.2,Proportion,"37.1 (35, 39.2)",21435,education,No education
Rural,dm_unscreened,21.3,19.4,23.2,Proportion,"21.3 (19.4, 23.2)",10767,education,Primary
Rural,dm_undiagnosed,35.1,32.7,37.5,Proportion,"35.1 (32.7, 37.5)",10767,education,Primary
Rural,dm_unscreened,18.3,17.3,19.2,Proportion,"18.3 (17.3, 19.2)",22425,education,Secondary
Rural,dm_undiagnosed,31.5,30.2,32.7,Proportion,"31.5 (30.2, 32.7)",22425,education,Secondary
Urban,dm_unscreened,10.9,9.6,12.3,Proportion,"10.9 (9.6, 12.3)",6463,education,Higher
Urban,dm_undiagnosed,23.8,22,25.6,Proportion,"23.8 (22, 25.6)",6463,education,Higher
Urban,dm_unscreened,18.2,15.6,20.9,Proportion,"18.2 (15.6, 20.9)",6414,education,No education
Urban,dm_undiagnosed,31.8,28.5,35.1,Proportion,"31.8 (28.5, 35.1)",6414,education,No education
Urban,dm_unscreened,16.6,13.6,19.6,Proportion,"16.6 (13.6, 19.6)",5211,education,Primary
Urban,dm_undiagnosed,29.4,26,32.7,Proportion,"29.4 (26, 32.7)",5211,education,Primary
Urban,dm_unscreened,13.5,12.3,14.7,Proportion,"13.5 (12.3, 14.7)",15821,education,Secondary
Urban,dm_undiagnosed,26.8,25.3,28.3,Proportion,"26.8 (25.3, 28.3)",15821,education,Secondary
Rural,dm_unscreened,20.2,18.5,21.8,Proportion,"20.2 (18.5, 21.8)",16616,caste,General
Rural,dm_undiagnosed,32.5,30.5,34.4,Proportion,"32.5 (30.5, 34.4)",16616,caste,General
Rural,dm_unscreened,20.7,19.2,22.1,Proportion,"20.7 (19.2, 22.1)",24318,caste,OBC
Rural,dm_undiagnosed,32.9,31.2,34.6,Proportion,"32.9 (31.2, 34.6)",24318,caste,OBC
Rural,dm_unscreened,21.5,19.7,23.3,Proportion,"21.5 (19.7, 23.3)",10934,caste,Schedule Caste
Rural,dm_undiagnosed,34.6,32.6,36.7,Proportion,"34.6 (32.6, 36.7)",10934,caste,Schedule Caste
Rural,dm_unscreened,31,28.5,33.5,Proportion,"31 (28.5, 33.5)",7486,caste,Schedule Tribe
Rural,dm_undiagnosed,42.7,39.8,45.6,Proportion,"42.7 (39.8, 45.6)",7486,caste,Schedule Tribe
Urban,dm_unscreened,14.5,12.8,16.2,Proportion,"14.5 (12.8, 16.2)",11923,caste,General
Urban,dm_undiagnosed,27.1,25.1,29.1,Proportion,"27.1 (25.1, 29.1)",11923,caste,General
Urban,dm_unscreened,13.6,12.2,14.9,Proportion,"13.6 (12.2, 14.9)",14475,caste,OBC
Urban,dm_undiagnosed,26.8,25.1,28.6,Proportion,"26.8 (25.1, 28.6)",14475,caste,OBC
Urban,dm_unscreened,15.7,13.7,17.6,Proportion,"15.7 (13.7, 17.6)",4936,caste,Schedule Caste
Urban,dm_undiagnosed,30.1,27.6,32.6,Proportion,"30.1 (27.6, 32.6)",4936,caste,Schedule Caste
Urban,dm_unscreened,17.4,13.1,21.8,Proportion,"17.4 (13.1, 21.8)",2575,caste,Schedule Tribe
Urban,dm_undiagnosed,29.5,24.6,34.5,Proportion,"29.5 (24.6, 34.5)",2575,caste,Schedule Tribe
Rural,dm_unscreened,21.9,20.8,23,Proportion,"21.9 (20.8, 23)",45709,religion,Hindu
Rural,dm_undiagnosed,34,32.7,35.2,Proportion,"34 (32.7, 35.2)",45709,religion,Hindu
Rural,dm_unscreened,21.8,19.4,24.3,Proportion,"21.8 (19.4, 24.3)",6459,religion,Muslim
Rural,dm_undiagnosed,33.8,31,36.6,Proportion,"33.8 (31, 36.6)",6459,religion,Muslim
Rural,dm_unscreened,14.1,12,16.2,Proportion,"14.1 (12, 16.2)",7186,religion,Other
Rural,dm_undiagnosed,30.2,27.3,33.2,Proportion,"30.2 (27.3, 33.2)",7186,religion,Other
Urban,dm_unscreened,14.8,13.7,16,Proportion,"14.8 (13.7, 16)",25391,religion,Hindu
Urban,dm_undiagnosed,28.2,26.7,29.7,Proportion,"28.2 (26.7, 29.7)",25391,religion,Hindu
Urban,dm_unscreened,14.3,12.1,16.5,Proportion,"14.3 (12.1, 16.5)",4710,religion,Muslim
Urban,dm_undiagnosed,27,24.2,29.8,Proportion,"27 (24.2, 29.8)",4710,religion,Muslim
Urban,dm_unscreened,9.2,7.4,11,Proportion,"9.2 (7.4, 11)",3808,religion,Other
Urban,dm_undiagnosed,21.1,18.4,23.9,Proportion,"21.1 (18.4, 23.9)",3808,religion,Other
Rural,dm_unscreened,35.9,33.4,38.4,Proportion,"35.9 (33.4, 38.4)",6195,wealthq_ur,1
Rural,dm_undiagnosed,43.2,40.5,45.8,Proportion,"43.2 (40.5, 45.8)",6195,wealthq_ur,1
Rural,dm_unscreened,27.9,25.7,30.2,Proportion,"27.9 (25.7, 30.2)",8349,wealthq_ur,2
Rural,dm_undiagnosed,36.5,34.2,38.9,Proportion,"36.5 (34.2, 38.9)",8349,wealthq_ur,2
Rural,dm_unscreened,22.9,21.1,24.8,Proportion,"22.9 (21.1, 24.8)",10837,wealthq_ur,3
Rural,dm_undiagnosed,34.5,32.4,36.5,Proportion,"34.5 (32.4, 36.5)",10837,wealthq_ur,3
Rural,dm_unscreened,19.1,17.2,20.9,Proportion,"19.1 (17.2, 20.9)",14132,wealthq_ur,4
Rural,dm_undiagnosed,33.7,31.5,35.8,Proportion,"33.7 (31.5, 35.8)",14132,wealthq_ur,4
Rural,dm_unscreened,15.1,13.5,16.7,Proportion,"15.1 (13.5, 16.7)",19841,wealthq_ur,5
Rural,dm_undiagnosed,29.3,27.4,31.2,Proportion,"29.3 (27.4, 31.2)",19841,wealthq_ur,5
