REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
1,dm_unscreened,1,-0.5,2.5,Proportion,"1 (-0.5, 2.5)",132,,NA,Jammu & Kashmir,1,Kupwara
1,dm_undiagnosed,3.6,-1.7,8.9,Proportion,"3.6 (-1.7, 8.9)",132,,NA,Jammu & Kashmir,1,Kupwara
2,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",120,,NA,Jammu & Kashmir,1,Badgam
2,dm_undiagnosed,2,-0.8,4.8,Proportion,"2 (-0.8, 4.8)",120,,NA,Jammu & Kashmir,1,Badgam
3,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",70,,NA,Ladakh,37,Leh
3,dm_undiagnosed,1.1,-1.1,3.3,Proportion,"1.1 (-1.1, 3.3)",70,,NA,Ladakh,37,Leh
4,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",322,,NA,Ladakh,37,Kargil
4,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",322,,NA,Ladakh,37,Kargil
5,dm_unscreened,2.8,-0.4,5.9,Proportion,"2.8 (-0.4, 5.9)",140,,NA,Jammu & Kashmir,1,Punch
5,dm_undiagnosed,5.6,1.8,9.5,Proportion,"5.6 (1.8, 9.5)",140,,NA,Jammu & Kashmir,1,Punch
6,dm_unscreened,2.9,-1.2,7,Proportion,"2.9 (-1.2, 7)",63,,NA,Jammu & Kashmir,1,Rajouri
6,dm_undiagnosed,4.4,-0.6,9.5,Proportion,"4.4 (-0.6, 9.5)",63,,NA,Jammu & Kashmir,1,Rajouri
7,dm_unscreened,15.6,6.2,25,Proportion,"15.6 (6.2, 25)",61,,NA,Jammu & Kashmir,1,Kathua
7,dm_undiagnosed,25.2,12.4,37.9,Proportion,"25.2 (12.4, 37.9)",61,,NA,Jammu & Kashmir,1,Kathua
8,dm_unscreened,5.5,1.4,9.5,Proportion,"5.5 (1.4, 9.5)",125,,NA,Jammu & Kashmir,1,Baramula
8,dm_undiagnosed,17.7,9,26.4,Proportion,"17.7 (9, 26.4)",125,,NA,Jammu & Kashmir,1,Baramula
9,dm_unscreened,6.5,1.7,11.2,Proportion,"6.5 (1.7, 11.2)",174,,NA,Jammu & Kashmir,1,Bandipore
9,dm_undiagnosed,13.3,5.5,21.1,Proportion,"13.3 (5.5, 21.1)",174,,NA,Jammu & Kashmir,1,Bandipore
10,dm_unscreened,2.6,-0.3,5.4,Proportion,"2.6 (-0.3, 5.4)",118,,NA,Jammu & Kashmir,1,Srinagar
10,dm_undiagnosed,4.3,1,7.7,Proportion,"4.3 (1, 7.7)",118,,NA,Jammu & Kashmir,1,Srinagar
11,dm_unscreened,2.4,0,4.8,Proportion,"2.4 (0, 4.8)",145,,NA,Jammu & Kashmir,1,Ganderbal
11,dm_undiagnosed,8.5,3.4,13.7,Proportion,"8.5 (3.4, 13.7)",145,,NA,Jammu & Kashmir,1,Ganderbal
12,dm_unscreened,0.3,-0.3,0.8,Proportion,"0.3 (-0.3, 0.8)",135,,NA,Jammu & Kashmir,1,Pulwama
12,dm_undiagnosed,3.2,0.6,5.9,Proportion,"3.2 (0.6, 5.9)",135,,NA,Jammu & Kashmir,1,Pulwama
13,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",125,,NA,Jammu & Kashmir,1,Shupiyan
13,dm_undiagnosed,1.4,-0.6,3.5,Proportion,"1.4 (-0.6, 3.5)",125,,NA,Jammu & Kashmir,1,Shupiyan
14,dm_unscreened,1,-1,2.9,Proportion,"1 (-1, 2.9)",95,,NA,Jammu & Kashmir,1,Anantnag
14,dm_undiagnosed,4.7,-0.3,9.8,Proportion,"4.7 (-0.3, 9.8)",95,,NA,Jammu & Kashmir,1,Anantnag
15,dm_unscreened,3.6,-1.3,8.5,Proportion,"3.6 (-1.3, 8.5)",57,,NA,Jammu & Kashmir,1,Kulgam
15,dm_undiagnosed,5.3,-0.4,10.9,Proportion,"5.3 (-0.4, 10.9)",57,,NA,Jammu & Kashmir,1,Kulgam
16,dm_unscreened,7,1,13,Proportion,"7 (1, 13)",67,,NA,Jammu & Kashmir,1,Doda
16,dm_undiagnosed,13,2.4,23.6,Proportion,"13 (2.4, 23.6)",67,,NA,Jammu & Kashmir,1,Doda
