state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
1,dm_screened,96.6,95.5,97.5,Proportion,"96.6 (95.5, 97.5)",2249,,NA,Jammu & Kashmir,North
1,dm_diagnosed,92,90,93.7,Proportion,"92 (90, 93.7)",2249,,NA,Jammu & Kashmir,North
2,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1444,,NA,Himachal Pradesh,North
2,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1444,,NA,Himachal Pradesh,North
3,dm_screened,92.4,91.1,93.5,Proportion,"92.4 (91.1, 93.5)",3368,,NA,Punjab,North
3,dm_diagnosed,78.7,76.5,80.7,Proportion,"78.7 (76.5, 80.7)",3368,,NA,Punjab,North
4,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",122,,NA,Chandigarh,North
4,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",122,,NA,Chandigarh,North
5,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1311,,NA,Uttarakhand,Central
5,dm_diagnosed,79.5,76.2,82.4,Proportion,"79.5 (76.2, 82.4)",1311,,NA,Uttarakhand,Central
6,dm_screened,89.8,88.2,91.3,Proportion,"89.8 (88.2, 91.3)",2773,,NA,Haryana,North
6,dm_diagnosed,79.5,77.2,81.7,Proportion,"79.5 (77.2, 81.7)",2773,,NA,Haryana,North
7,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1624,,NA,Nct Of Delhi,North
7,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1624,,NA,Nct Of Delhi,North
8,dm_screened,86.4,84.4,88.3,Proportion,"86.4 (84.4, 88.3)",2575,,NA,Rajasthan,North
8,dm_diagnosed,81.1,78.6,83.3,Proportion,"81.1 (78.6, 83.3)",2575,,NA,Rajasthan,North
9,dm_screened,84.2,83,85.4,Proportion,"84.2 (83, 85.4)",8236,,NA,Uttar Pradesh,Central
9,dm_diagnosed,74.3,72.6,76,Proportion,"74.3 (72.6, 76)",8236,,NA,Uttar Pradesh,Central
10,dm_screened,81.8,80,83.4,Proportion,"81.8 (80, 83.4)",4106,,NA,Bihar,East
10,dm_diagnosed,75.8,73.7,77.7,Proportion,"75.8 (73.7, 77.7)",4106,,NA,Bihar,East
11,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",356,,NA,Sikkim,North East
11,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",356,,NA,Sikkim,North East
12,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1633,,NA,Arunachal Pradesh,North East
12,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1633,,NA,Arunachal Pradesh,North East
13,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",565,,NA,Nagaland,North East
13,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",565,,NA,Nagaland,North East
14,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",1069,,NA,Manipur,North East
14,dm_diagnosed,78.5,75.5,81.2,Proportion,"78.5 (75.5, 81.2)",1069,,NA,Manipur,North East
15,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",781,,NA,Mizoram,North East
15,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",781,,NA,Mizoram,North East
16,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",866,,NA,Tripura,North East
16,dm_diagnosed,73.2,69.1,77.1,Proportion,"73.2 (69.1, 77.1)",866,,NA,Tripura,North East
17,dm_screened,NA,NA,NA,Proportion,"NaN (NaN, NaN)",425,,NA,Meghalaya,North East
17,dm_diagnosed,NA,NA,NA,Proportion,"NaN (NaN, NaN)",425,,NA,Meghalaya,North East
18,dm_screened,87.5,85.9,88.9,Proportion,"87.5 (85.9, 88.9)",3001,,NA,Assam,North East
18,dm_diagnosed,77,74.9,79,Proportion,"77 (74.9, 79)",3001,,NA,Assam,North East
