state,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
1,dm_unscreened,3.4,2.5,4.5,Proportion,"3.4 (2.5, 4.5)",2249,,NA,Jammu & Kashmir,North
1,dm_undiagnosed,8,6.3,10,Proportion,"8 (6.3, 10)",2249,,NA,Jammu & Kashmir,North
2,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1444,,NA,Himachal Pradesh,North
2,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",1444,,NA,Himachal Pradesh,North
3,dm_unscreened,7.6,6.5,8.9,Proportion,"7.6 (6.5, 8.9)",3368,,NA,Punjab,North
3,dm_undiagnosed,21.3,19.3,23.5,Proportion,"21.3 (19.3, 23.5)",3368,,NA,Punjab,North
4,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",122,,NA,Chandigarh,North
4,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",122,,NA,Chandigarh,North
5,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1311,,NA,Uttarakhand,Central
5,dm_undiagnosed,20.5,17.6,23.8,Proportion,"20.5 (17.6, 23.8)",1311,,NA,Uttarakhand,Central
6,dm_unscreened,10.2,8.7,11.8,Proportion,"10.2 (8.7, 11.8)",2773,,NA,Haryana,North
6,dm_undiagnosed,20.5,18.3,22.8,Proportion,"20.5 (18.3, 22.8)",2773,,NA,Haryana,North
7,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1624,,NA,Nct Of Delhi,North
7,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",1624,,NA,Nct Of Delhi,North
8,dm_unscreened,13.6,11.7,15.6,Proportion,"13.6 (11.7, 15.6)",2575,,NA,Rajasthan,North
8,dm_undiagnosed,18.9,16.7,21.4,Proportion,"18.9 (16.7, 21.4)",2575,,NA,Rajasthan,North
9,dm_unscreened,15.8,14.6,17,Proportion,"15.8 (14.6, 17)",8236,,NA,Uttar Pradesh,Central
9,dm_undiagnosed,25.7,24,27.4,Proportion,"25.7 (24, 27.4)",8236,,NA,Uttar Pradesh,Central
10,dm_unscreened,18.2,16.6,20,Proportion,"18.2 (16.6, 20)",4106,,NA,Bihar,East
10,dm_undiagnosed,24.2,22.3,26.3,Proportion,"24.2 (22.3, 26.3)",4106,,NA,Bihar,East
11,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",356,,NA,Sikkim,North East
11,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",356,,NA,Sikkim,North East
12,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1633,,NA,Arunachal Pradesh,North East
12,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",1633,,NA,Arunachal Pradesh,North East
13,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",565,,NA,Nagaland,North East
13,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",565,,NA,Nagaland,North East
14,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",1069,,NA,Manipur,North East
14,dm_undiagnosed,21.5,18.8,24.5,Proportion,"21.5 (18.8, 24.5)",1069,,NA,Manipur,North East
15,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",781,,NA,Mizoram,North East
15,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",781,,NA,Mizoram,North East
16,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",866,,NA,Tripura,North East
16,dm_undiagnosed,26.8,22.9,30.9,Proportion,"26.8 (22.9, 30.9)",866,,NA,Tripura,North East
17,dm_unscreened,0,0,0,Proportion,"0 (0, 0)",425,,NA,Meghalaya,North East
17,dm_undiagnosed,0,0,0,Proportion,"0 (0, 0)",425,,NA,Meghalaya,North East
