residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,dm_unscreened,36.6,35.9,37.2,Proportion,"36.6 (35.9, 37.2)",97996,,NA
Rural,dm_undiagnosed,57,56.3,57.8,Proportion,"57 (56.3, 57.8)",97996,,NA
Urban,dm_unscreened,20.6,19.7,21.4,Proportion,"20.6 (19.7, 21.4)",47103,,NA
Urban,dm_undiagnosed,44.7,43.8,45.7,Proportion,"44.7 (43.8, 45.7)",47103,,NA
Rural,dm_unscreened,34.9,34.1,35.7,Proportion,"34.9 (34.1, 35.7)",48902,sex,Female
Rural,dm_undiagnosed,55.3,54.4,56.1,Proportion,"55.3 (54.4, 56.1)",48902,sex,Female
Rural,dm_unscreened,38.2,37.5,39,Proportion,"38.2 (37.5, 39)",49094,sex,Male
Rural,dm_undiagnosed,58.8,58,59.6,Proportion,"58.8 (58, 59.6)",49094,sex,Male
Urban,dm_unscreened,19,18.1,19.9,Proportion,"19 (18.1, 19.9)",24202,sex,Female
Urban,dm_undiagnosed,42.7,41.6,43.8,Proportion,"42.7 (41.6, 43.8)",24202,sex,Female
Urban,dm_unscreened,22.2,21.2,23.2,Proportion,"22.2 (21.2, 23.2)",22901,sex,Male
Urban,dm_undiagnosed,47,45.8,48.1,Proportion,"47 (45.8, 48.1)",22901,sex,Male
Rural,dm_unscreened,46.7,45.5,48,Proportion,"46.7 (45.5, 48)",19622,age_category,18-39
Rural,dm_undiagnosed,64.4,63,65.7,Proportion,"64.4 (63, 65.7)",19622,age_category,18-39
Rural,dm_unscreened,35.4,34.7,36.1,Proportion,"35.4 (34.7, 36.1)",55329,age_category,40-64
Rural,dm_undiagnosed,56.5,55.8,57.3,Proportion,"56.5 (55.8, 57.3)",55329,age_category,40-64
Rural,dm_unscreened,30.8,29.9,31.7,Proportion,"30.8 (29.9, 31.7)",23045,age_category,65 plus
Rural,dm_undiagnosed,52.1,51.1,53.1,Proportion,"52.1 (51.1, 53.1)",23045,age_category,65 plus
Urban,dm_unscreened,35.5,33.6,37.3,Proportion,"35.5 (33.6, 37.3)",8164,age_category,18-39
Urban,dm_undiagnosed,58.6,56.5,60.7,Proportion,"58.6 (56.5, 60.7)",8164,age_category,18-39
Urban,dm_unscreened,19.3,18.4,20.2,Proportion,"19.3 (18.4, 20.2)",27853,age_category,40-64
Urban,dm_undiagnosed,44.4,43.4,45.5,Proportion,"44.4 (43.4, 45.5)",27853,age_category,40-64
Urban,dm_unscreened,13.5,12.4,14.5,Proportion,"13.5 (12.4, 14.5)",11086,age_category,65 plus
Urban,dm_undiagnosed,36.1,34.6,37.5,Proportion,"36.1 (34.6, 37.5)",11086,age_category,65 plus
Rural,dm_unscreened,28.8,27.2,30.5,Proportion,"28.8 (27.2, 30.5)",7019,education,Higher
Rural,dm_undiagnosed,49.5,47.6,51.4,Proportion,"49.5 (47.6, 51.4)",7019,education,Higher
Rural,dm_unscreened,42.2,41.3,43,Proportion,"42.2 (41.3, 43)",37420,education,No education
Rural,dm_undiagnosed,61.3,60.4,62.2,Proportion,"61.3 (60.4, 62.2)",37420,education,No education
Rural,dm_unscreened,35.3,34.2,36.4,Proportion,"35.3 (34.2, 36.4)",17799,education,Primary
Rural,dm_undiagnosed,56.6,55.4,57.8,Proportion,"56.6 (55.4, 57.8)",17799,education,Primary
Rural,dm_unscreened,33,32.1,33.8,Proportion,"33 (32.1, 33.8)",35758,education,Secondary
Rural,dm_undiagnosed,54.4,53.5,55.3,Proportion,"54.4 (53.5, 55.3)",35758,education,Secondary
Urban,dm_unscreened,17.1,15.7,18.5,Proportion,"17.1 (15.7, 18.5)",8795,education,Higher
Urban,dm_undiagnosed,42.6,40.8,44.3,Proportion,"42.6 (40.8, 44.3)",8795,education,Higher
Urban,dm_unscreened,25.6,24.2,27.1,Proportion,"25.6 (24.2, 27.1)",9230,education,No education
Urban,dm_undiagnosed,48.6,47,50.2,Proportion,"48.6 (47, 50.2)",9230,education,No education
Urban,dm_unscreened,20.6,19.1,22.1,Proportion,"20.6 (19.1, 22.1)",7226,education,Primary
Urban,dm_undiagnosed,43.9,42.1,45.7,Proportion,"43.9 (42.1, 45.7)",7226,education,Primary
Urban,dm_unscreened,19.8,18.8,20.8,Proportion,"19.8 (18.8, 20.8)",21852,education,Secondary
Urban,dm_undiagnosed,44.3,43.1,45.4,Proportion,"44.3 (43.1, 45.4)",21852,education,Secondary
Rural,dm_unscreened,33.6,32.5,34.6,Proportion,"33.6 (32.5, 34.6)",25796,caste,General
Rural,dm_undiagnosed,54.8,53.7,55.9,Proportion,"54.8 (53.7, 55.9)",25796,caste,General
Rural,dm_unscreened,34,33.1,34.9,Proportion,"34 (33.1, 34.9)",38683,caste,OBC
Rural,dm_undiagnosed,54.8,53.8,55.8,Proportion,"54.8 (53.8, 55.8)",38683,caste,OBC
Rural,dm_unscreened,38.9,37.7,40.2,Proportion,"38.9 (37.7, 40.2)",18314,caste,Schedule Caste
