REGCODE,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,v024,REGNAME
1,dm_unscreened,9.6,1.8,17.3,Proportion,"9.6 (1.8, 17.3)",169,,NA,Jammu & Kashmir,1,Kupwara
1,dm_undiagnosed,19.8,6.6,32.9,Proportion,"19.8 (6.6, 32.9)",169,,NA,Jammu & Kashmir,1,Kupwara
2,dm_unscreened,19,4.7,33.3,Proportion,"19 (4.7, 33.3)",186,,NA,Jammu & Kashmir,1,Badgam
2,dm_undiagnosed,30.4,14.6,46.2,Proportion,"30.4 (14.6, 46.2)",186,,NA,Jammu & Kashmir,1,Badgam
3,dm_unscreened,6.6,1.3,11.8,Proportion,"6.6 (1.3, 11.8)",87,,NA,Ladakh,37,Leh
3,dm_undiagnosed,12.9,6,19.8,Proportion,"12.9 (6, 19.8)",87,,NA,Ladakh,37,Leh
4,dm_unscreened,8.9,1.2,16.5,Proportion,"8.9 (1.2, 16.5)",374,,NA,Ladakh,37,Kargil
4,dm_undiagnosed,13.3,3.5,23.2,Proportion,"13.3 (3.5, 23.2)",374,,NA,Ladakh,37,Kargil
5,dm_unscreened,5,0.6,9.3,Proportion,"5 (0.6, 9.3)",181,,NA,Jammu & Kashmir,1,Punch
5,dm_undiagnosed,30.4,19.7,41.1,Proportion,"30.4 (19.7, 41.1)",181,,NA,Jammu & Kashmir,1,Punch
6,dm_unscreened,40,20.7,59.2,Proportion,"40 (20.7, 59.2)",133,,NA,Jammu & Kashmir,1,Rajouri
6,dm_undiagnosed,56.2,38.7,73.7,Proportion,"56.2 (38.7, 73.7)",133,,NA,Jammu & Kashmir,1,Rajouri
7,dm_unscreened,18.6,9.1,28.2,Proportion,"18.6 (9.1, 28.2)",137,,NA,Jammu & Kashmir,1,Kathua
7,dm_undiagnosed,63.8,50,77.5,Proportion,"63.8 (50, 77.5)",137,,NA,Jammu & Kashmir,1,Kathua
8,dm_unscreened,21.9,13.2,30.7,Proportion,"21.9 (13.2, 30.7)",192,,NA,Jammu & Kashmir,1,Baramula
8,dm_undiagnosed,45.8,33.8,57.8,Proportion,"45.8 (33.8, 57.8)",192,,NA,Jammu & Kashmir,1,Baramula
9,dm_unscreened,24.4,10.5,38.3,Proportion,"24.4 (10.5, 38.3)",240,,NA,Jammu & Kashmir,1,Bandipore
9,dm_undiagnosed,42.6,23.6,61.5,Proportion,"42.6 (23.6, 61.5)",240,,NA,Jammu & Kashmir,1,Bandipore
10,dm_unscreened,19.1,10.3,27.8,Proportion,"19.1 (10.3, 27.8)",141,,NA,Jammu & Kashmir,1,Srinagar
10,dm_undiagnosed,24,14.9,33.1,Proportion,"24 (14.9, 33.1)",141,,NA,Jammu & Kashmir,1,Srinagar
