state,residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata,n5_state,zone
1,Rural,dm_unscreened,4.8,3.4,6.1,Proportion,"4.8 (3.4, 6.1)",1834,,NA,Jammu & Kashmir,North
1,Rural,dm_undiagnosed,12.5,9.8,15.1,Proportion,"12.5 (9.8, 15.1)",1834,,NA,Jammu & Kashmir,North
1,Urban,dm_unscreened,3.8,1.9,5.6,Proportion,"3.8 (1.9, 5.6)",501,,NA,Jammu & Kashmir,North
1,Urban,dm_undiagnosed,8.8,5.4,12.1,Proportion,"8.8 (5.4, 12.1)",501,,NA,Jammu & Kashmir,North
2,Rural,dm_unscreened,9.9,7.8,12.1,Proportion,"9.9 (7.8, 12.1)",1343,,NA,Himachal Pradesh,North
2,Rural,dm_undiagnosed,24.4,21.5,27.3,Proportion,"24.4 (21.5, 27.3)",1343,,NA,Himachal Pradesh,North
2,Urban,dm_unscreened,4.7,1.1,8.2,Proportion,"4.7 (1.1, 8.2)",179,,NA,Himachal Pradesh,North
2,Urban,dm_undiagnosed,17.3,10,24.6,Proportion,"17.3 (10, 24.6)",179,,NA,Himachal Pradesh,North
3,Rural,dm_unscreened,10.9,9.3,12.5,Proportion,"10.9 (9.3, 12.5)",2282,,NA,Punjab,North
3,Rural,dm_undiagnosed,26.7,24.3,29.1,Proportion,"26.7 (24.3, 29.1)",2282,,NA,Punjab,North
3,Urban,dm_unscreened,7.8,5.5,10.1,Proportion,"7.8 (5.5, 10.1)",1265,,NA,Punjab,North
3,Urban,dm_undiagnosed,23.3,19.5,27,Proportion,"23.3 (19.5, 27)",1265,,NA,Punjab,North
4,Rural,dm_unscreened,20,20,20,Proportion,"20 (20, 20)",5,,NA,Chandigarh,North
4,Rural,dm_undiagnosed,40,40,40,Proportion,"40 (40, 40)",5,,NA,Chandigarh,North
4,Urban,dm_unscreened,8.3,4,12.5,Proportion,"8.3 (4, 12.5)",127,,NA,Chandigarh,North
4,Urban,dm_undiagnosed,26.4,18.7,34.2,Proportion,"26.4 (18.7, 34.2)",127,,NA,Chandigarh,North
5,Rural,dm_unscreened,14.4,11.4,17.4,Proportion,"14.4 (11.4, 17.4)",970,,NA,Uttarakhand,Central
5,Rural,dm_undiagnosed,27.9,24,31.8,Proportion,"27.9 (24, 31.8)",970,,NA,Uttarakhand,Central
5,Urban,dm_unscreened,15.2,10.4,20,Proportion,"15.2 (10.4, 20)",446,,NA,Uttarakhand,Central
5,Urban,dm_undiagnosed,23.8,17.8,29.9,Proportion,"23.8 (17.8, 29.9)",446,,NA,Uttarakhand,Central
6,Rural,dm_unscreened,15.4,13.1,17.7,Proportion,"15.4 (13.1, 17.7)",1747,,NA,Haryana,North
6,Rural,dm_undiagnosed,30.4,27.1,33.6,Proportion,"30.4 (27.1, 33.6)",1747,,NA,Haryana,North
6,Urban,dm_unscreened,7.6,5.7,9.4,Proportion,"7.6 (5.7, 9.4)",1214,,NA,Haryana,North
6,Urban,dm_undiagnosed,18.4,15.3,21.5,Proportion,"18.4 (15.3, 21.5)",1214,,NA,Haryana,North
7,Rural,dm_unscreened,2.1,-2,6.2,Proportion,"2.1 (-2, 6.2)",38,,NA,Nct Of Delhi,North
7,Rural,dm_undiagnosed,23.7,3.1,44.2,Proportion,"23.7 (3.1, 44.2)",38,,NA,Nct Of Delhi,North
7,Urban,dm_unscreened,7.6,6.1,9.1,Proportion,"7.6 (6.1, 9.1)",1658,,NA,Nct Of Delhi,North
7,Urban,dm_undiagnosed,21,18.5,23.4,Proportion,"21 (18.5, 23.4)",1658,,NA,Nct Of Delhi,North
8,Rural,dm_unscreened,20,17.2,22.8,Proportion,"20 (17.2, 22.8)",1787,,NA,Rajasthan,North
8,Rural,dm_undiagnosed,27.3,24,30.6,Proportion,"27.3 (24, 30.6)",1787,,NA,Rajasthan,North
8,Urban,dm_unscreened,12.4,9,15.7,Proportion,"12.4 (9, 15.7)",955,,NA,Rajasthan,North
8,Urban,dm_undiagnosed,17.9,13.9,21.9,Proportion,"17.9 (13.9, 21.9)",955,,NA,Rajasthan,North
9,Rural,dm_unscreened,21.2,19.5,22.8,Proportion,"21.2 (19.5, 22.8)",6849,,NA,Uttar Pradesh,Central
9,Rural,dm_undiagnosed,31.9,29.8,34,Proportion,"31.9 (29.8, 34)",6849,,NA,Uttar Pradesh,Central
9,Urban,dm_unscreened,16,13.7,18.3,Proportion,"16 (13.7, 18.3)",2078,,NA,Uttar Pradesh,Central
9,Urban,dm_undiagnosed,30.4,27,33.7,Proportion,"30.4 (27, 33.7)",2078,,NA,Uttar Pradesh,Central
10,Rural,dm_unscreened,25.6,23.5,27.6,Proportion,"25.6 (23.5, 27.6)",3659,,NA,Bihar,East
10,Rural,dm_undiagnosed,32.7,30.4,35,Proportion,"32.7 (30.4, 35)",3659,,NA,Bihar,East
10,Urban,dm_unscreened,14.3,10.9,17.8,Proportion,"14.3 (10.9, 17.8)",806,,NA,Bihar,East
10,Urban,dm_undiagnosed,22.5,18.1,26.8,Proportion,"22.5 (18.1, 26.8)",806,,NA,Bihar,East
11,Rural,dm_unscreened,11.2,7.4,15,Proportion,"11.2 (7.4, 15)",302,,NA,Sikkim,North East
11,Rural,dm_undiagnosed,25.7,20.7,30.8,Proportion,"25.7 (20.7, 30.8)",302,,NA,Sikkim,North East
11,Urban,dm_unscreened,10.1,2.5,17.7,Proportion,"10.1 (2.5, 17.7)",79,,NA,Sikkim,North East
11,Urban,dm_undiagnosed,15.8,7.8,23.7,Proportion,"15.8 (7.8, 23.7)",79,,NA,Sikkim,North East
12,Rural,dm_unscreened,20.2,16,24.4,Proportion,"20.2 (16, 24.4)",1207,,NA,Arunachal Pradesh,North East
12,Rural,dm_undiagnosed,27,21.8,32.2,Proportion,"27 (21.8, 32.2)",1207,,NA,Arunachal Pradesh,North East
12,Urban,dm_unscreened,10.8,6.9,14.7,Proportion,"10.8 (6.9, 14.7)",628,,NA,Arunachal Pradesh,North East
12,Urban,dm_undiagnosed,20.9,15.1,26.8,Proportion,"20.9 (15.1, 26.8)",628,,NA,Arunachal Pradesh,North East
13,Rural,dm_unscreened,29.4,22.8,36.1,Proportion,"29.4 (22.8, 36.1)",393,,NA,Nagaland,North East
13,Rural,dm_undiagnosed,42.5,34.1,50.8,Proportion,"42.5 (34.1, 50.8)",393,,NA,Nagaland,North East
13,Urban,dm_unscreened,14.1,8.3,19.8,Proportion,"14.1 (8.3, 19.8)",263,,NA,Nagaland,North East
13,Urban,dm_undiagnosed,21.6,14.4,28.7,Proportion,"21.6 (14.4, 28.7)",263,,NA,Nagaland,North East
14,Rural,dm_unscreened,19.6,16.2,23.1,Proportion,"19.6 (16.2, 23.1)",700,,NA,Manipur,North East
14,Rural,dm_undiagnosed,31.1,27.3,34.9,Proportion,"31.1 (27.3, 34.9)",700,,NA,Manipur,North East
