residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,dm_screened,81.4,80.9,82,Proportion,"81.4 (80.9, 82)",59354,,NA
Rural,dm_diagnosed,69.1,68.4,69.8,Proportion,"69.1 (68.4, 69.8)",59354,,NA
Urban,dm_screened,89.2,88.6,89.8,Proportion,"89.2 (88.6, 89.8)",33909,,NA
Urban,dm_diagnosed,76.6,75.7,77.4,Proportion,"76.6 (75.7, 77.4)",33909,,NA
Rural,dm_screened,82.5,81.7,83.2,Proportion,"82.5 (81.7, 83.2)",30411,sex,Female
Rural,dm_diagnosed,70.5,69.7,71.4,Proportion,"70.5 (69.7, 71.4)",30411,sex,Female
Rural,dm_screened,80.4,79.7,81,Proportion,"80.4 (79.7, 81)",28943,sex,Male
Rural,dm_diagnosed,67.6,66.8,68.5,Proportion,"67.6 (66.8, 68.5)",28943,sex,Male
Urban,dm_screened,90.2,89.4,90.9,Proportion,"90.2 (89.4, 90.9)",17717,sex,Female
Urban,dm_diagnosed,77.9,76.9,78.9,Proportion,"77.9 (76.9, 78.9)",17717,sex,Female
Urban,dm_screened,88.1,87.3,88.9,Proportion,"88.1 (87.3, 88.9)",16192,sex,Male
Urban,dm_diagnosed,75.1,74,76.2,Proportion,"75.1 (74, 76.2)",16192,sex,Male
Rural,dm_screened,77,75.7,78.3,Proportion,"77 (75.7, 78.3)",10619,age_category,18-39
Rural,dm_diagnosed,65.4,63.8,67,Proportion,"65.4 (63.8, 67)",10619,age_category,18-39
Rural,dm_screened,80.9,80.2,81.6,Proportion,"80.9 (80.2, 81.6)",34343,age_category,40-64
Rural,dm_diagnosed,68,67.2,68.8,Proportion,"68 (67.2, 68.8)",34343,age_category,40-64
Rural,dm_screened,85.9,85.1,86.7,Proportion,"85.9 (85.1, 86.7)",14392,age_category,65 plus
Rural,dm_diagnosed,74.6,73.6,75.6,Proportion,"74.6 (73.6, 75.6)",14392,age_category,65 plus
Urban,dm_screened,79.9,78.1,81.7,Proportion,"79.9 (78.1, 81.7)",5124,age_category,18-39
Urban,dm_diagnosed,66.3,64,68.6,Proportion,"66.3 (64, 68.6)",5124,age_category,18-39
Urban,dm_screened,89.5,88.8,90.2,Proportion,"89.5 (88.8, 90.2)",20398,age_category,40-64
Urban,dm_diagnosed,75.8,74.8,76.7,Proportion,"75.8 (74.8, 76.7)",20398,age_category,40-64
Urban,dm_screened,93.8,93,94.5,Proportion,"93.8 (93, 94.5)",8387,age_category,65 plus
Urban,dm_diagnosed,84.1,82.9,85.3,Proportion,"84.1 (82.9, 85.3)",8387,age_category,65 plus
Rural,dm_screened,85.5,83.6,87.4,Proportion,"85.5 (83.6, 87.4)",4727,education,Higher
Rural,dm_diagnosed,73.3,71.2,75.4,Proportion,"73.3 (71.2, 75.4)",4727,education,Higher
Rural,dm_screened,77.7,76.9,78.5,Proportion,"77.7 (76.9, 78.5)",21435,education,No education
Rural,dm_diagnosed,66.2,65.2,67.2,Proportion,"66.2 (65.2, 67.2)",21435,education,No education
Rural,dm_screened,82.3,81.2,83.3,Proportion,"82.3 (81.2, 83.3)",10767,education,Primary
Rural,dm_diagnosed,70,68.7,71.2,Proportion,"70 (68.7, 71.2)",10767,education,Primary
Rural,dm_screened,83.6,82.9,84.3,Proportion,"83.6 (82.9, 84.3)",22425,education,Secondary
Rural,dm_diagnosed,70.6,69.6,71.5,Proportion,"70.6 (69.6, 71.5)",22425,education,Secondary
Urban,dm_screened,91,89.9,92.1,Proportion,"91 (89.9, 92.1)",6463,education,Higher
Urban,dm_diagnosed,78.7,77.1,80.3,Proportion,"78.7 (77.1, 80.3)",6463,education,Higher
Urban,dm_screened,86.9,85.7,88,Proportion,"86.9 (85.7, 88)",6414,education,No education
Urban,dm_diagnosed,73.9,72.3,75.5,Proportion,"73.9 (72.3, 75.5)",6414,education,No education
Urban,dm_screened,89.4,88.2,90.6,Proportion,"89.4 (88.2, 90.6)",5211,education,Primary
Urban,dm_diagnosed,77.5,75.8,79.2,Proportion,"77.5 (75.8, 79.2)",5211,education,Primary
Urban,dm_screened,89.3,88.6,90.1,Proportion,"89.3 (88.6, 90.1)",15821,education,Secondary
Urban,dm_diagnosed,76.5,75.4,77.6,Proportion,"76.5 (75.4, 77.6)",15821,education,Secondary
Rural,dm_screened,83.1,82.1,84.1,Proportion,"83.1 (82.1, 84.1)",16616,caste,General
Rural,dm_diagnosed,71.1,69.9,72.3,Proportion,"71.1 (69.9, 72.3)",16616,caste,General
Rural,dm_screened,82.8,82,83.5,Proportion,"82.8 (82, 83.5)",24318,caste,OBC
Rural,dm_diagnosed,70.2,69.2,71.2,Proportion,"70.2 (69.2, 71.2)",24318,caste,OBC
Rural,dm_screened,79.9,78.7,81,Proportion,"79.9 (78.7, 81)",10934,caste,Schedule Caste
Rural,dm_diagnosed,67.4,66,68.8,Proportion,"67.4 (66, 68.8)",10934,caste,Schedule Caste
Rural,dm_screened,69.2,67.2,71.2,Proportion,"69.2 (67.2, 71.2)",7486,caste,Schedule Tribe
Rural,dm_diagnosed,57.7,55.4,59.9,Proportion,"57.7 (55.4, 59.9)",7486,caste,Schedule Tribe
Urban,dm_screened,89.6,88.7,90.5,Proportion,"89.6 (88.7, 90.5)",11923,caste,General
Urban,dm_diagnosed,77.9,76.7,79.2,Proportion,"77.9 (76.7, 79.2)",11923,caste,General
Urban,dm_screened,90,89.2,90.7,Proportion,"90 (89.2, 90.7)",14475,caste,OBC
Urban,dm_diagnosed,77,75.9,78.1,Proportion,"77 (75.9, 78.1)",14475,caste,OBC
Urban,dm_screened,86.6,85,88.1,Proportion,"86.6 (85, 88.1)",4936,caste,Schedule Caste
Urban,dm_diagnosed,72.7,70.7,74.7,Proportion,"72.7 (70.7, 74.7)",4936,caste,Schedule Caste
