residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,Screened,29.9,29.5,30.3,Proportion,"29.9 (29.5, 30.3)",1244713,,Total
Rural,Diabetes,5,4.9,5.1,Proportion,"5 (4.9, 5.1)",1244713,,Total
Urban,Screened,45.5,44.7,46.4,Proportion,"45.5 (44.7, 46.4)",406463,,Total
Urban,Diabetes,8.4,8.2,8.6,Proportion,"8.4 (8.2, 8.6)",406463,,Total
Rural,Screened,31.8,31.4,32.3,Proportion,"31.8 (31.4, 32.3)",655126,sex,Female
Rural,Diabetes,4.9,4.8,5,Proportion,"4.9 (4.8, 5)",655126,sex,Female
Rural,Screened,27.7,27.3,28.1,Proportion,"27.7 (27.3, 28.1)",589587,sex,Male
Rural,Diabetes,5.2,5.1,5.3,Proportion,"5.2 (5.1, 5.3)",589587,sex,Male
Urban,Screened,48.5,47.6,49.4,Proportion,"48.5 (47.6, 49.4)",212770,sex,Female
Urban,Diabetes,8.5,8.3,8.8,Proportion,"8.5 (8.3, 8.8)",212770,sex,Female
Urban,Screened,42.3,41.4,43.2,Proportion,"42.3 (41.4, 43.2)",193693,sex,Male
Urban,Diabetes,8.3,8,8.6,Proportion,"8.3 (8, 8.6)",193693,sex,Male
Rural,Screened,23,22.7,23.4,Proportion,"23 (22.7, 23.4)",629169,age_category,18-39
Rural,Diabetes,1.7,1.7,1.8,Proportion,"1.7 (1.7, 1.8)",629169,age_category,18-39
Rural,Screened,35.5,35,36,Proportion,"35.5 (35, 36)",480515,age_category,40-64
Rural,Diabetes,7.6,7.5,7.8,Proportion,"7.6 (7.5, 7.8)",480515,age_category,40-64
Rural,Screened,41.4,40.8,42,Proportion,"41.4 (40.8, 42)",135029,age_category,65 plus
Rural,Diabetes,11,10.7,11.3,Proportion,"11 (10.7, 11.3)",135029,age_category,65 plus
Urban,Screened,33.7,32.8,34.5,Proportion,"33.7 (32.8, 34.5)",206731,age_category,18-39
Urban,Diabetes,2.3,2.2,2.5,Proportion,"2.3 (2.2, 2.5)",206731,age_category,18-39
Urban,Screened,55.4,54.5,56.4,Proportion,"55.4 (54.5, 56.4)",159739,age_category,40-64
Urban,Diabetes,12.8,12.4,13.1,Proportion,"12.8 (12.4, 13.1)",159739,age_category,40-64
Urban,Screened,65.4,64.2,66.5,Proportion,"65.4 (64.2, 66.5)",39993,age_category,65 plus
Urban,Diabetes,21.2,20.5,22,Proportion,"21.2 (20.5, 22)",39993,age_category,65 plus
Rural,Screened,31.1,30.4,31.8,Proportion,"31.1 (30.4, 31.8)",126226,education,Higher
Rural,Diabetes,4,3.8,4.2,Proportion,"4 (3.8, 4.2)",126226,education,Higher
Rural,Screened,27.8,27.3,28.2,Proportion,"27.8 (27.3, 28.2)",407626,education,No education
Rural,Diabetes,5.3,5.2,5.4,Proportion,"5.3 (5.2, 5.4)",407626,education,No education
Rural,Screened,32.1,31.6,32.7,Proportion,"32.1 (31.6, 32.7)",187169,education,Primary
Rural,Diabetes,6.2,6,6.4,Proportion,"6.2 (6, 6.4)",187169,education,Primary
Rural,Screened,30.5,30,30.9,Proportion,"30.5 (30, 30.9)",523692,education,Secondary
Rural,Diabetes,4.7,4.6,4.8,Proportion,"4.7 (4.6, 4.8)",523692,education,Secondary
Urban,Screened,46.9,45.7,48,Proportion,"46.9 (45.7, 48)",99688,education,Higher
Urban,Diabetes,6.3,6,6.6,Proportion,"6.3 (6, 6.6)",99688,education,Higher
Urban,Screened,43,41.8,44.2,Proportion,"43 (41.8, 44.2)",65735,education,No education
Urban,Diabetes,9.8,9.4,10.2,Proportion,"9.8 (9.4, 10.2)",65735,education,No education
Urban,Screened,47.2,46,48.4,Proportion,"47.2 (46, 48.4)",46570,education,Primary
Urban,Diabetes,11.2,10.7,11.7,Proportion,"11.2 (10.7, 11.7)",46570,education,Primary
Urban,Screened,45.3,44.3,46.2,Proportion,"45.3 (44.3, 46.2)",194470,education,Secondary
Urban,Diabetes,8.4,8.1,8.6,Proportion,"8.4 (8.1, 8.6)",194470,education,Secondary
Rural,Screened,33.1,32.4,33.7,Proportion,"33.1 (32.4, 33.7)",276653,caste,General
Rural,Diabetes,6.2,6,6.4,Proportion,"6.2 (6, 6.4)",276653,caste,General
Rural,Screened,31.5,31,32.1,Proportion,"31.5 (31, 32.1)",455380,caste,OBC
