residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,Screened,29.9,29.5,30.3,Proportion,"29.9 (29.5, 30.3)",1244713,,Total
Rural,Diabetes,5,4.9,5.1,Proportion,"5 (4.9, 5.1)",1244713,,Total
Rural,Diagnosed,3.8,3.7,3.9,Proportion,"3.8 (3.7, 3.9)",1244713,,Total
Rural,Treated,2.5,2.4,2.5,Proportion,"2.5 (2.4, 2.5)",1244713,,Total
Rural,Controlled,2.4,2.3,2.4,Proportion,"2.4 (2.3, 2.4)",1244713,,Total
Urban,Screened,45.5,44.7,46.4,Proportion,"45.5 (44.7, 46.4)",406463,,Total
Urban,Diabetes,8.4,8.2,8.6,Proportion,"8.4 (8.2, 8.6)",406463,,Total
Urban,Diagnosed,6.8,6.6,7,Proportion,"6.8 (6.6, 7)",406463,,Total
Urban,Treated,5.3,5.2,5.5,Proportion,"5.3 (5.2, 5.5)",406463,,Total
Urban,Controlled,3.8,3.7,4,Proportion,"3.8 (3.7, 4)",406463,,Total
Rural,Screened,31.8,31.4,32.3,Proportion,"31.8 (31.4, 32.3)",655126,sex,Female
Rural,Diabetes,4.9,4.8,5,Proportion,"4.9 (4.8, 5)",655126,sex,Female
Rural,Diagnosed,3.8,3.6,3.9,Proportion,"3.8 (3.6, 3.9)",655126,sex,Female
Rural,Treated,2.4,2.3,2.5,Proportion,"2.4 (2.3, 2.5)",655126,sex,Female
Rural,Controlled,2.4,2.3,2.5,Proportion,"2.4 (2.3, 2.5)",655126,sex,Female
Rural,Screened,27.7,27.3,28.1,Proportion,"27.7 (27.3, 28.1)",589587,sex,Male
Rural,Diabetes,5.2,5.1,5.3,Proportion,"5.2 (5.1, 5.3)",589587,sex,Male
Rural,Diagnosed,3.8,3.7,4,Proportion,"3.8 (3.7, 4)",589587,sex,Male
Rural,Treated,2.5,2.5,2.6,Proportion,"2.5 (2.5, 2.6)",589587,sex,Male
Rural,Controlled,2.3,2.3,2.4,Proportion,"2.3 (2.3, 2.4)",589587,sex,Male
Urban,Screened,48.5,47.6,49.4,Proportion,"48.5 (47.6, 49.4)",212770,sex,Female
Urban,Diabetes,8.5,8.3,8.8,Proportion,"8.5 (8.3, 8.8)",212770,sex,Female
Urban,Diagnosed,7,6.8,7.2,Proportion,"7 (6.8, 7.2)",212770,sex,Female
Urban,Treated,5.5,5.3,5.7,Proportion,"5.5 (5.3, 5.7)",212770,sex,Female
Urban,Controlled,4,3.8,4.1,Proportion,"4 (3.8, 4.1)",212770,sex,Female
Urban,Screened,42.3,41.4,43.2,Proportion,"42.3 (41.4, 43.2)",193693,sex,Male
Urban,Diabetes,8.3,8,8.6,Proportion,"8.3 (8, 8.6)",193693,sex,Male
Urban,Diagnosed,6.6,6.4,6.9,Proportion,"6.6 (6.4, 6.9)",193693,sex,Male
Urban,Treated,5.1,5,5.3,Proportion,"5.1 (5, 5.3)",193693,sex,Male
Urban,Controlled,3.7,3.5,3.9,Proportion,"3.7 (3.5, 3.9)",193693,sex,Male
Rural,Screened,23,22.7,23.4,Proportion,"23 (22.7, 23.4)",629169,age_category,18-39
Rural,Diabetes,1.7,1.7,1.8,Proportion,"1.7 (1.7, 1.8)",629169,age_category,18-39
Rural,Diagnosed,1.2,1.2,1.3,Proportion,"1.2 (1.2, 1.3)",629169,age_category,18-39
Rural,Treated,0.4,0.4,0.5,Proportion,"0.4 (0.4, 0.5)",629169,age_category,18-39
Rural,Controlled,1,0.9,1.1,Proportion,"1 (0.9, 1.1)",629169,age_category,18-39
Rural,Screened,35.5,35,36,Proportion,"35.5 (35, 36)",480515,age_category,40-64
Rural,Diabetes,7.6,7.5,7.8,Proportion,"7.6 (7.5, 7.8)",480515,age_category,40-64
Rural,Diagnosed,5.7,5.5,5.8,Proportion,"5.7 (5.5, 5.8)",480515,age_category,40-64
Rural,Treated,3.9,3.8,4,Proportion,"3.9 (3.8, 4)",480515,age_category,40-64
Rural,Controlled,3.2,3.1,3.3,Proportion,"3.2 (3.1, 3.3)",480515,age_category,40-64
Rural,Screened,41.4,40.8,42,Proportion,"41.4 (40.8, 42)",135029,age_category,65 plus
Rural,Diabetes,11,10.7,11.3,Proportion,"11 (10.7, 11.3)",135029,age_category,65 plus
