REGCODE,REGNAME,n5_state,v024,variable,estimate,lci,uci,strata,est_ci
1,Kupwara,Jammu & Kashmir,1,Screened,48,40.2,55.9,Total,"48 (40.2, 55.9)"
1,Kupwara,Jammu & Kashmir,1,Diabetes,4.5,2.2,6.8,Total,"4.5 (2.2, 6.8)"
1,Kupwara,Jammu & Kashmir,1,Diagnosed,4.4,2.1,6.7,Total,"4.4 (2.1, 6.7)"
1,Kupwara,Jammu & Kashmir,1,Treated,1.8,1.1,2.6,Total,"1.8 (1.1, 2.6)"
1,Kupwara,Jammu & Kashmir,1,Controlled,3.9,1.6,6.1,Total,"3.9 (1.6, 6.1)"
2,Badgam,Jammu & Kashmir,1,Screened,59.1,51.4,66.9,Total,"59.1 (51.4, 66.9)"
2,Badgam,Jammu & Kashmir,1,Diabetes,4.4,2.6,6.2,Total,"4.4 (2.6, 6.2)"
2,Badgam,Jammu & Kashmir,1,Diagnosed,4.3,2.5,6.1,Total,"4.3 (2.5, 6.1)"
2,Badgam,Jammu & Kashmir,1,Treated,2.1,1.1,3.1,Total,"2.1 (1.1, 3.1)"
2,Badgam,Jammu & Kashmir,1,Controlled,3.7,1.9,5.4,Total,"3.7 (1.9, 5.4)"
3,Leh,Ladakh,37,Screened,59,51.6,66.5,Total,"59 (51.6, 66.5)"
3,Leh,Ladakh,37,Diabetes,2.5,1.5,3.6,Total,"2.5 (1.5, 3.6)"
3,Leh,Ladakh,37,Diagnosed,2.5,1.4,3.6,Total,"2.5 (1.4, 3.6)"
3,Leh,Ladakh,37,Treated,0.9,0.3,1.4,Total,"0.9 (0.3, 1.4)"
3,Leh,Ladakh,37,Controlled,2.3,1.2,3.4,Total,"2.3 (1.2, 3.4)"
4,Kargil,Ladakh,37,Screened,50.4,42.9,57.9,Total,"50.4 (42.9, 57.9)"
4,Kargil,Ladakh,37,Diabetes,11.3,5.5,17.2,Total,"11.3 (5.5, 17.2)"
4,Kargil,Ladakh,37,Diagnosed,11.3,5.5,17.2,Total,"11.3 (5.5, 17.2)"
4,Kargil,Ladakh,37,Treated,3.2,2.1,4.3,Total,"3.2 (2.1, 4.3)"
4,Kargil,Ladakh,37,Controlled,10,4,15.9,Total,"10 (4, 15.9)"
5,Punch,Jammu & Kashmir,1,Screened,49.7,40.3,59.1,Total,"49.7 (40.3, 59.1)"
5,Punch,Jammu & Kashmir,1,Diabetes,4.9,3.5,6.4,Total,"4.9 (3.5, 6.4)"
5,Punch,Jammu & Kashmir,1,Diagnosed,4.6,3.2,6,Total,"4.6 (3.2, 6)"
5,Punch,Jammu & Kashmir,1,Treated,3,2,4.1,Total,"3 (2, 4.1)"
5,Punch,Jammu & Kashmir,1,Controlled,2.8,1.5,4,Total,"2.8 (1.5, 4)"
6,Rajouri,Jammu & Kashmir,1,Screened,66.5,58.2,74.8,Total,"66.5 (58.2, 74.8)"
6,Rajouri,Jammu & Kashmir,1,Diabetes,2.3,1.4,3.1,Total,"2.3 (1.4, 3.1)"
6,Rajouri,Jammu & Kashmir,1,Diagnosed,2.2,1.3,3,Total,"2.2 (1.3, 3)"
6,Rajouri,Jammu & Kashmir,1,Treated,1,0.5,1.4,Total,"1 (0.5, 1.4)"
6,Rajouri,Jammu & Kashmir,1,Controlled,2,1.2,2.7,Total,"2 (1.2, 2.7)"
7,Kathua,Jammu & Kashmir,1,Screened,65.3,56.6,74.1,Total,"65.3 (56.6, 74.1)"
7,Kathua,Jammu & Kashmir,1,Diabetes,2.3,1.4,3.1,Total,"2.3 (1.4, 3.1)"
7,Kathua,Jammu & Kashmir,1,Diagnosed,1.7,0.9,2.5,Total,"1.7 (0.9, 2.5)"
7,Kathua,Jammu & Kashmir,1,Treated,1.3,0.6,2,Total,"1.3 (0.6, 2)"
7,Kathua,Jammu & Kashmir,1,Controlled,1.4,0.8,2,Total,"1.4 (0.8, 2)"
8,Baramula,Jammu & Kashmir,1,Screened,48,41.8,54.1,Total,"48 (41.8, 54.1)"
8,Baramula,Jammu & Kashmir,1,Diabetes,4.2,3.1,5.2,Total,"4.2 (3.1, 5.2)"
8,Baramula,Jammu & Kashmir,1,Diagnosed,3.4,2.3,4.5,Total,"3.4 (2.3, 4.5)"
8,Baramula,Jammu & Kashmir,1,Treated,2.6,1.6,3.6,Total,"2.6 (1.6, 3.6)"
8,Baramula,Jammu & Kashmir,1,Controlled,2.6,1.8,3.5,Total,"2.6 (1.8, 3.5)"
9,Bandipore,Jammu & Kashmir,1,Screened,37.3,31.6,43,Total,"37.3 (31.6, 43)"
