residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,Screened,29.7,29.3,30.1,Proportion,"29.7 (29.3, 30.1)",1244713,,Total
Rural,Diabetes,4.9,4.8,5,Proportion,"4.9 (4.8, 5)",1244713,,Total
Rural,Diagnosed,3.7,3.6,3.8,Proportion,"3.7 (3.6, 3.8)",1244713,,Total
Rural,Treated,2.4,2.3,2.4,Proportion,"2.4 (2.3, 2.4)",1244713,,Total
Rural,Controlled,2.3,2.2,2.4,Proportion,"2.3 (2.2, 2.4)",1244713,,Total
Urban,Screened,47.9,47,48.8,Proportion,"47.9 (47, 48.8)",406463,,Total
Urban,Diabetes,9.7,9.4,9.9,Proportion,"9.7 (9.4, 9.9)",406463,,Total
Urban,Diagnosed,7.9,7.6,8.1,Proportion,"7.9 (7.6, 8.1)",406463,,Total
Urban,Treated,6.2,6,6.4,Proportion,"6.2 (6, 6.4)",406463,,Total
Urban,Controlled,4.4,4.2,4.6,Proportion,"4.4 (4.2, 4.6)",406463,,Total
Rural,Screened,30.8,30.3,31.2,Proportion,"30.8 (30.3, 31.2)",655126,sex,Female
Rural,Diabetes,4.3,4.2,4.4,Proportion,"4.3 (4.2, 4.4)",655126,sex,Female
Rural,Diagnosed,3.3,3.2,3.4,Proportion,"3.3 (3.2, 3.4)",655126,sex,Female
Rural,Treated,2,2,2.1,Proportion,"2 (2, 2.1)",655126,sex,Female
Rural,Controlled,2.1,2,2.2,Proportion,"2.1 (2, 2.2)",655126,sex,Female
Rural,Screened,28.5,28.1,28.9,Proportion,"28.5 (28.1, 28.9)",589587,sex,Male
Rural,Diabetes,5.6,5.5,5.8,Proportion,"5.6 (5.5, 5.8)",589587,sex,Male
Rural,Diagnosed,4.2,4,4.3,Proportion,"4.2 (4, 4.3)",589587,sex,Male
Rural,Treated,2.7,2.7,2.8,Proportion,"2.7 (2.7, 2.8)",589587,sex,Male
Rural,Controlled,2.5,2.4,2.6,Proportion,"2.5 (2.4, 2.6)",589587,sex,Male
Urban,Screened,49.8,48.9,50.8,Proportion,"49.8 (48.9, 50.8)",212770,sex,Female
Urban,Diabetes,9.1,8.8,9.4,Proportion,"9.1 (8.8, 9.4)",212770,sex,Female
Urban,Diagnosed,7.5,7.2,7.7,Proportion,"7.5 (7.2, 7.7)",212770,sex,Female
Urban,Treated,5.9,5.7,6.1,Proportion,"5.9 (5.7, 6.1)",212770,sex,Female
Urban,Controlled,4.2,4.1,4.4,Proportion,"4.2 (4.1, 4.4)",212770,sex,Female
Urban,Screened,46,45.1,46.9,Proportion,"46 (45.1, 46.9)",193693,sex,Male
Urban,Diabetes,10.2,9.9,10.6,Proportion,"10.2 (9.9, 10.6)",193693,sex,Male
Urban,Diagnosed,8.2,7.9,8.5,Proportion,"8.2 (7.9, 8.5)",193693,sex,Male
Urban,Treated,6.6,6.3,6.8,Proportion,"6.6 (6.3, 6.8)",193693,sex,Male
Urban,Controlled,4.5,4.3,4.7,Proportion,"4.5 (4.3, 4.7)",193693,sex,Male
Rural,Screened,23.3,22.9,23.7,Proportion,"23.3 (22.9, 23.7)",629169,age_category,18-39
Rural,Diabetes,1.8,1.7,1.8,Proportion,"1.8 (1.7, 1.8)",629169,age_category,18-39
Rural,Diagnosed,1.2,1.2,1.3,Proportion,"1.2 (1.2, 1.3)",629169,age_category,18-39
Rural,Treated,0.5,0.4,0.5,Proportion,"0.5 (0.4, 0.5)",629169,age_category,18-39
Rural,Controlled,1,0.9,1,Proportion,"1 (0.9, 1)",629169,age_category,18-39
Rural,Screened,35.8,35.3,36.3,Proportion,"35.8 (35.3, 36.3)",480515,age_category,40-64
Rural,Diabetes,7.8,7.6,7.9,Proportion,"7.8 (7.6, 7.9)",480515,age_category,40-64
Rural,Diagnosed,5.8,5.6,5.9,Proportion,"5.8 (5.6, 5.9)",480515,age_category,40-64
Rural,Treated,3.9,3.8,4,Proportion,"3.9 (3.8, 4)",480515,age_category,40-64
Rural,Controlled,3.3,3.1,3.4,Proportion,"3.3 (3.1, 3.4)",480515,age_category,40-64
Rural,Screened,42.5,41.9,43.2,Proportion,"42.5 (41.9, 43.2)",135029,age_category,65 plus
Rural,Diabetes,11.9,11.6,12.3,Proportion,"11.9 (11.6, 12.3)",135029,age_category,65 plus
Rural,Diagnosed,9.7,9.3,10,Proportion,"9.7 (9.3, 10)",135029,age_category,65 plus
Rural,Treated,7.2,6.9,7.5,Proportion,"7.2 (6.9, 7.5)",135029,age_category,65 plus
Rural,Controlled,6,5.7,6.2,Proportion,"6 (5.7, 6.2)",135029,age_category,65 plus
Urban,Screened,33.6,32.7,34.5,Proportion,"33.6 (32.7, 34.5)",206731,age_category,18-39
Urban,Diabetes,2.4,2.3,2.6,Proportion,"2.4 (2.3, 2.6)",206731,age_category,18-39
Urban,Diagnosed,1.7,1.6,1.8,Proportion,"1.7 (1.6, 1.8)",206731,age_category,18-39
Urban,Treated,0.9,0.8,0.9,Proportion,"0.9 (0.8, 0.9)",206731,age_category,18-39
Urban,Controlled,1.2,1.1,1.3,Proportion,"1.2 (1.1, 1.3)",206731,age_category,18-39
Urban,Screened,55.8,54.9,56.8,Proportion,"55.8 (54.9, 56.8)",159739,age_category,40-64
Urban,Diabetes,12.6,12.3,13,Proportion,"12.6 (12.3, 13)",159739,age_category,40-64
Urban,Diagnosed,10.1,9.8,10.4,Proportion,"10.1 (9.8, 10.4)",159739,age_category,40-64
Urban,Treated,8.1,7.8,8.3,Proportion,"8.1 (7.8, 8.3)",159739,age_category,40-64
Urban,Controlled,5.3,5.1,5.5,Proportion,"5.3 (5.1, 5.5)",159739,age_category,40-64
Urban,Screened,67.1,65.8,68.4,Proportion,"67.1 (65.8, 68.4)",39993,age_category,65 plus
Urban,Diabetes,22.9,22,23.8,Proportion,"22.9 (22, 23.8)",39993,age_category,65 plus
Urban,Diagnosed,20.1,19.2,20.9,Proportion,"20.1 (19.2, 20.9)",39993,age_category,65 plus
Urban,Treated,17.3,16.5,18.1,Proportion,"17.3 (16.5, 18.1)",39993,age_category,65 plus
Urban,Controlled,11.4,10.7,12,Proportion,"11.4 (10.7, 12)",39993,age_category,65 plus
Rural,Screened,35.8,35,36.5,Proportion,"35.8 (35, 36.5)",126226,education,Higher
Rural,Diabetes,6.3,6,6.6,Proportion,"6.3 (6, 6.6)",126226,education,Higher
Rural,Diagnosed,5,4.7,5.3,Proportion,"5 (4.7, 5.3)",126226,education,Higher
Rural,Treated,3.1,2.9,3.3,Proportion,"3.1 (2.9, 3.3)",126226,education,Higher
Rural,Controlled,3.1,2.8,3.3,Proportion,"3.1 (2.8, 3.3)",126226,education,Higher
Rural,Screened,24.9,24.4,25.3,Proportion,"24.9 (24.4, 25.3)",407626,education,No education
Rural,Diabetes,3.9,3.8,4,Proportion,"3.9 (3.8, 4)",407626,education,No education
