state,n5_state,residence,variable,estimate,lci,uci,stratification,strata,est_ci,ST_NM
1,Jammu & Kashmir,Rural,Screened,52.7,50.5,55,,Total,"52.7 (50.5, 55)",Jammu & Kashmir
1,Jammu & Kashmir,Rural,Diabetes,4.2,3.7,4.6,,Total,"4.2 (3.7, 4.6)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Screened,56.8,52.5,61.1,,Total,"56.8 (52.5, 61.1)",Jammu & Kashmir
1,Jammu & Kashmir,Urban,Diabetes,5.1,4.2,5.9,,Total,"5.1 (4.2, 5.9)",Jammu & Kashmir
2,Himachal Pradesh,Rural,Screened,49.8,47.6,52,,Total,"49.8 (47.6, 52)",Himachal Pradesh
2,Himachal Pradesh,Rural,Diabetes,5.2,4.7,5.7,,Total,"5.2 (4.7, 5.7)",Himachal Pradesh
2,Himachal Pradesh,Urban,Screened,57.9,52.9,62.8,,Total,"57.9 (52.9, 62.8)",Himachal Pradesh
2,Himachal Pradesh,Urban,Diabetes,7.2,5.5,8.9,,Total,"7.2 (5.5, 8.9)",Himachal Pradesh
3,Punjab,Rural,Screened,50.7,48.5,52.9,,Total,"50.7 (48.5, 52.9)",Punjab
3,Punjab,Rural,Diabetes,6.2,5.8,6.5,,Total,"6.2 (5.8, 6.5)",Punjab
3,Punjab,Urban,Screened,58.6,55.4,61.7,,Total,"58.6 (55.4, 61.7)",Punjab
3,Punjab,Urban,Diabetes,7.9,7.2,8.6,,Total,"7.9 (7.2, 8.6)",Punjab
4,Chandigarh,Rural,Screened,52.1,52.1,52.1,,Total,"52.1 (52.1, 52.1)",Chandigarh
4,Chandigarh,Rural,Diabetes,10.9,10.9,10.9,,Total,"10.9 (10.9, 10.9)",Chandigarh
4,Chandigarh,Urban,Screened,63.8,56.2,71.5,,Total,"63.8 (56.2, 71.5)",Chandigarh
4,Chandigarh,Urban,Diabetes,9.7,7.8,11.6,,Total,"9.7 (7.8, 11.6)",Chandigarh
5,Uttarakhand,Rural,Screened,34.2,31.6,36.7,,Total,"34.2 (31.6, 36.7)",Uttarakhand
5,Uttarakhand,Rural,Diabetes,4.6,4.1,5,,Total,"4.6 (4.1, 5)",Uttarakhand
5,Uttarakhand,Urban,Screened,50.4,45.8,55,,Total,"50.4 (45.8, 55)",Uttarakhand
5,Uttarakhand,Urban,Diabetes,9.7,8.6,10.8,,Total,"9.7 (8.6, 10.8)",Uttarakhand
6,Haryana,Rural,Screened,41.2,39.5,42.9,,Total,"41.2 (39.5, 42.9)",Haryana
6,Haryana,Rural,Diabetes,5.1,4.6,5.6,,Total,"5.1 (4.6, 5.6)",Haryana
6,Haryana,Urban,Screened,51.6,49.1,54.2,,Total,"51.6 (49.1, 54.2)",Haryana
6,Haryana,Urban,Diabetes,8.2,7.2,9.1,,Total,"8.2 (7.2, 9.1)",Haryana
7,Nct Of Delhi,Rural,Screened,72.1,59.5,84.6,,Total,"72.1 (59.5, 84.6)",Delhi
7,Nct Of Delhi,Rural,Diabetes,7.4,1.8,12.9,,Total,"7.4 (1.8, 12.9)",Delhi
7,Nct Of Delhi,Urban,Screened,60.6,58.6,62.6,,Total,"60.6 (58.6, 62.6)",Delhi
7,Nct Of Delhi,Urban,Diabetes,8.9,8.3,9.4,,Total,"8.9 (8.3, 9.4)",Delhi
8,Rajasthan,Rural,Screened,16.8,15.4,18.2,,Total,"16.8 (15.4, 18.2)",Rajasthan
8,Rajasthan,Rural,Diabetes,2.4,2.2,2.7,,Total,"2.4 (2.2, 2.7)",Rajasthan
8,Rajasthan,Urban,Screened,28.2,25.5,30.9,,Total,"28.2 (25.5, 30.9)",Rajasthan
8,Rajasthan,Urban,Diabetes,5,4.2,5.7,,Total,"5 (4.2, 5.7)",Rajasthan
9,Uttar Pradesh,Rural,Screened,24,23.2,24.9,,Total,"24 (23.2, 24.9)",Uttar Pradesh
9,Uttar Pradesh,Rural,Diabetes,4.5,4.2,4.7,,Total,"4.5 (4.2, 4.7)",Uttar Pradesh
9,Uttar Pradesh,Urban,Screened,33.3,31.4,35.3,,Total,"33.3 (31.4, 35.3)",Uttar Pradesh
9,Uttar Pradesh,Urban,Diabetes,6.1,5.6,6.6,,Total,"6.1 (5.6, 6.6)",Uttar Pradesh
10,Bihar,Rural,Screened,13.6,12.9,14.3,,Total,"13.6 (12.9, 14.3)",Bihar
10,Bihar,Rural,Diabetes,4.6,4.3,4.9,,Total,"4.6 (4.3, 4.9)",Bihar
10,Bihar,Urban,Screened,28.3,25,31.5,,Total,"28.3 (25, 31.5)",Bihar
10,Bihar,Urban,Diabetes,8.6,7.5,9.8,,Total,"8.6 (7.5, 9.8)",Bihar
11,Sikkim,Rural,Screened,36.6,33.8,39.3,,Total,"36.6 (33.8, 39.3)",Sikkim
11,Sikkim,Rural,Diabetes,4.8,3.9,5.7,,Total,"4.8 (3.9, 5.7)",Sikkim
11,Sikkim,Urban,Screened,44,36.4,51.6,,Total,"44 (36.4, 51.6)",Sikkim
11,Sikkim,Urban,Diabetes,9.1,7,11.2,,Total,"9.1 (7, 11.2)",Sikkim
12,Arunachal Pradesh,Rural,Screened,29.9,27.7,32.1,,Total,"29.9 (27.7, 32.1)",Arunachal Pradesh
12,Arunachal Pradesh,Rural,Diabetes,3.2,2.6,3.7,,Total,"3.2 (2.6, 3.7)",Arunachal Pradesh
12,Arunachal Pradesh,Urban,Screened,37.7,33.6,41.8,,Total,"37.7 (33.6, 41.8)",Arunachal Pradesh
12,Arunachal Pradesh,Urban,Diabetes,6.7,5.3,8.1,,Total,"6.7 (5.3, 8.1)",Arunachal Pradesh
13,Nagaland,Rural,Screened,15.6,12.8,18.5,,Total,"15.6 (12.8, 18.5)",Nagaland
13,Nagaland,Rural,Diabetes,2.1,1.7,2.5,,Total,"2.1 (1.7, 2.5)",Nagaland
13,Nagaland,Urban,Screened,26.5,22.2,30.8,,Total,"26.5 (22.2, 30.8)",Nagaland
13,Nagaland,Urban,Diabetes,5.3,3.7,6.8,,Total,"5.3 (3.7, 6.8)",Nagaland
14,Manipur,Rural,Screened,33.2,31.3,35.1,,Total,"33.2 (31.3, 35.1)",Manipur
14,Manipur,Rural,Diabetes,4.9,4.2,5.6,,Total,"4.9 (4.2, 5.6)",Manipur
14,Manipur,Urban,Screened,46.9,43.8,50.1,,Total,"46.9 (43.8, 50.1)",Manipur
14,Manipur,Urban,Diabetes,8.1,7,9.2,,Total,"8.1 (7, 9.2)",Manipur
15,Mizoram,Rural,Screened,26.5,22.7,30.2,,Total,"26.5 (22.7, 30.2)",Mizoram
15,Mizoram,Rural,Diabetes,3.8,3,4.5,,Total,"3.8 (3, 4.5)",Mizoram
15,Mizoram,Urban,Screened,48.5,45.2,51.8,,Total,"48.5 (45.2, 51.8)",Mizoram
15,Mizoram,Urban,Diabetes,6.9,5.8,8.1,,Total,"6.9 (5.8, 8.1)",Mizoram
16,Tripura,Rural,Screened,30,26.5,33.5,,Total,"30 (26.5, 33.5)",Tripura
