stratification,strata,Rural_dm_screened,Rural_dm_disease,Rural_dm_diagnosed,Rural_dm_treated,Rural_dm_controlled,Urban_dm_screened,Urban_dm_disease,Urban_dm_diagnosed,Urban_dm_treated,Urban_dm_controlled
NA,NA,"29.7 (29.3, 30.1)","5.3 (5.2, 5.4)","3.7 (3.6, 3.8)","2.4 (2.3, 2.4)","1.3 (1.3, 1.4)","47.9 (47, 48.8)","10.1 (9.8, 10.4)","7.9 (7.6, 8.1)","6.2 (6, 6.4)","3.6 (3.5, 3.8)"
sex,Female,"30.8 (30.3, 31.2)","4.6 (4.4, 4.7)","3.3 (3.2, 3.4)","2 (2, 2.1)","1.1 (1.1, 1.2)","49.8 (48.9, 50.8)","9.5 (9.2, 9.8)","7.5 (7.2, 7.7)","5.9 (5.7, 6.1)","3.4 (3.3, 3.6)"
sex,Male,"28.5 (28.1, 28.9)","6.1 (5.9, 6.2)","4.2 (4, 4.3)","2.7 (2.7, 2.8)","1.6 (1.5, 1.6)","46 (45.1, 46.9)","10.7 (10.4, 11)","8.2 (7.9, 8.5)","6.6 (6.3, 6.8)","3.8 (3.7, 4)"
age_category,18-39,"23.3 (22.9, 23.7)","1.9 (1.8, 1.9)","1.2 (1.2, 1.3)","0.5 (0.4, 0.5)","0.3 (0.3, 0.3)","33.6 (32.7, 34.5)","2.6 (2.4, 2.7)","1.7 (1.6, 1.8)","0.9 (0.8, 0.9)","0.5 (0.5, 0.6)"
age_category,40-64,"35.8 (35.3, 36.3)","8.4 (8.2, 8.5)","5.8 (5.6, 5.9)","3.9 (3.8, 4)","2.1 (2, 2.1)","55.8 (54.9, 56.8)","13.2 (12.9, 13.6)","10.1 (9.8, 10.4)","8.1 (7.8, 8.3)","4.4 (4.3, 4.6)"
age_category,65 plus,"42.5 (41.9, 43.2)","12.7 (12.4, 13.1)","9.7 (9.3, 10)","7.2 (6.9, 7.5)","4.5 (4.3, 4.7)","67.1 (65.8, 68.4)","23.7 (22.8, 24.7)","20.1 (19.2, 20.9)","17.3 (16.5, 18.1)","11 (10.3, 11.6)"
education,Higher,"35.8 (35, 36.5)","6.7 (6.4, 7)","5 (4.7, 5.3)","3.1 (2.9, 3.3)","1.7 (1.6, 1.9)","53.5 (52.4, 54.7)","10.4 (9.9, 10.9)","8.4 (7.9, 8.8)","6.7 (6.3, 7.1)","4.1 (3.8, 4.4)"
education,No education,"24.9 (24.4, 25.3)","4.1 (4, 4.3)","2.8 (2.7, 2.8)","1.7 (1.6, 1.7)","1 (0.9, 1)","38.4 (37.1, 39.6)","7.8 (7.4, 8.1)","5.6 (5.3, 6)","4.2 (4, 4.5)","2.4 (2.2, 2.5)"
education,Primary,"29.9 (29.4, 30.4)","5.4 (5.2, 5.6)","3.7 (3.6, 3.9)","2.4 (2.3, 2.5)","1.4 (1.3, 1.5)","44.6 (43.4, 45.8)","10.3 (9.9, 10.8)","7.9 (7.5, 8.3)","6.3 (5.9, 6.6)","3.5 (3.3, 3.8)"
education,Secondary,"32.2 (31.7, 32.6)","5.8 (5.7, 6)","4.2 (4, 4.3)","2.8 (2.7, 2.9)","1.5 (1.5, 1.6)","48.5 (47.6, 49.5)","10.6 (10.3, 11)","8.3 (8, 8.6)","6.6 (6.4, 6.8)","3.8 (3.6, 4)"
caste,General,"32.1 (31.5, 32.8)","6.1 (5.9, 6.3)","4.4 (4.2, 4.5)","3 (2.8, 3.1)","1.7 (1.6, 1.8)","48.3 (47.1, 49.4)","9.6 (9.3, 10)","7.6 (7.3, 7.9)","6.1 (5.8, 6.4)","3.7 (3.5, 3.9)"
caste,OBC,"31.1 (30.6, 31.7)","5.6 (5.4, 5.7)","4 (3.8, 4.1)","2.6 (2.5, 2.7)","1.5 (1.4, 1.5)","50.3 (49.2, 51.4)","11.1 (10.7, 11.5)","8.7 (8.3, 9)","6.9 (6.6, 7.2)","4 (3.8, 4.2)"
caste,Schedule Caste,"29.3 (28.6, 30)","5 (4.8, 5.2)","3.5 (3.3, 3.6)","2.1 (2, 2.2)","1.2 (1.1, 1.2)","44.1 (42.7, 45.6)","9.2 (8.7, 9.8)","6.9 (6.4, 7.4)","5.4 (5, 5.8)","3.1 (2.8, 3.4)"
caste,Schedule Tribe,"20.5 (19.8, 21.3)","3 (2.8, 3.1)","1.8 (1.6, 1.9)","1 (1, 1.1)","0.6 (0.6, 0.7)","38.8 (36.3, 41.3)","8.3 (7.4, 9.3)","6.3 (5.5, 7.2)","5 (4.2, 5.8)","2.6 (2, 3.1)"
religion,Hindu,"29 (28.6, 29.5)","5.1 (5, 5.2)","3.5 (3.4, 3.6)","2.2 (2.2, 2.3)","1.3 (1.2, 1.3)","48.1 (47.2, 49.1)","10.1 (9.8, 10.4)","7.8 (7.5, 8.1)","6.2 (5.9, 6.4)","3.6 (3.5, 3.8)"
religion,Muslim,"29.7 (28.8, 30.7)","6.1 (5.8, 6.5)","4.3 (4, 4.6)","2.9 (2.7, 3.2)","1.6 (1.5, 1.8)","43.1 (41.3, 44.9)","9.5 (9, 10.1)","7.4 (6.9, 7.9)","5.9 (5.5, 6.4)","3.4 (3.1, 3.7)"
religion,Other,"39.9 (38.6, 41.1)","6.7 (6.3, 7)","5 (4.7, 5.4)","3.6 (3.3, 3.8)","2 (1.8, 2.2)","57.6 (55.8, 59.5)","11.9 (11.1, 12.7)","9.9 (9.2, 10.7)","8.1 (7.5, 8.7)","4.7 (4.2, 5.2)"
wealthq_ur,1,"16.4 (15.9, 16.8)","3.1 (2.9, 3.2)","1.8 (1.7, 2)","0.9 (0.8, 1)","0.5 (0.5, 0.6)","34.8 (33.5, 36.1)","6.7 (6.3, 7.1)","4.7 (4.4, 5.1)","3.2 (3, 3.5)","1.8 (1.6, 2)"
