residence,variable,estimate,lci,uci,type,est_ci,n,stratification,strata
Rural,dm_screened,29.1,28.7,29.5,Proportion,"29.1 (28.7, 29.5)",1166573,,NA
Rural,dm_disease,5,4.9,5.1,Proportion,"5 (4.9, 5.1)",1166573,,NA
Rural,dm_diagnosed,3.4,3.3,3.5,Proportion,"3.4 (3.3, 3.5)",1166573,,NA
Rural,dm_treated,2.2,2.1,2.2,Proportion,"2.2 (2.1, 2.2)",1166573,,NA
Rural,dm_controlled,1.2,1.2,1.2,Proportion,"1.2 (1.2, 1.2)",1166573,,NA
Urban,dm_screened,44.3,43.4,45.1,Proportion,"44.3 (43.4, 45.1)",383659,,NA
Urban,dm_disease,8,7.8,8.2,Proportion,"8 (7.8, 8.2)",383659,,NA
Urban,dm_diagnosed,6.1,5.9,6.3,Proportion,"6.1 (5.9, 6.3)",383659,,NA
Urban,dm_treated,4.7,4.5,4.8,Proportion,"4.7 (4.5, 4.8)",383659,,NA
Urban,dm_controlled,2.6,2.5,2.7,Proportion,"2.6 (2.5, 2.7)",383659,,NA
Rural,dm_screened,31.3,30.8,31.7,Proportion,"31.3 (30.8, 31.7)",617427,sex,Female
Rural,dm_disease,4.9,4.7,5,Proportion,"4.9 (4.7, 5)",617427,sex,Female
Rural,dm_diagnosed,3.5,3.3,3.6,Proportion,"3.5 (3.3, 3.6)",617427,sex,Female
Rural,dm_treated,2.2,2.1,2.2,Proportion,"2.2 (2.1, 2.2)",617427,sex,Female
Rural,dm_controlled,1.2,1.1,1.2,Proportion,"1.2 (1.1, 1.2)",617427,sex,Female
Rural,dm_screened,26.6,26.1,27,Proportion,"26.6 (26.1, 27)",549146,sex,Male
Rural,dm_disease,5.1,5,5.2,Proportion,"5.1 (5, 5.2)",549146,sex,Male
Rural,dm_diagnosed,3.4,3.3,3.5,Proportion,"3.4 (3.3, 3.5)",549146,sex,Male
Rural,dm_treated,2.2,2.1,2.3,Proportion,"2.2 (2.1, 2.3)",549146,sex,Male
Rural,dm_controlled,1.2,1.2,1.3,Proportion,"1.2 (1.2, 1.3)",549146,sex,Male
Urban,dm_screened,47.5,46.6,48.4,Proportion,"47.5 (46.6, 48.4)",201354,sex,Female
Urban,dm_disease,8.2,8,8.5,Proportion,"8.2 (8, 8.5)",201354,sex,Female
Urban,dm_diagnosed,6.4,6.2,6.6,Proportion,"6.4 (6.2, 6.6)",201354,sex,Female
Urban,dm_treated,4.9,4.7,5.1,Proportion,"4.9 (4.7, 5.1)",201354,sex,Female
Urban,dm_controlled,2.7,2.6,2.9,Proportion,"2.7 (2.6, 2.9)",201354,sex,Female
Urban,dm_screened,40.6,39.7,41.5,Proportion,"40.6 (39.7, 41.5)",182305,sex,Male
Urban,dm_disease,7.8,7.5,8,Proportion,"7.8 (7.5, 8)",182305,sex,Male
Urban,dm_diagnosed,5.8,5.5,6,Proportion,"5.8 (5.5, 6)",182305,sex,Male
Urban,dm_treated,4.4,4.2,4.6,Proportion,"4.4 (4.2, 4.6)",182305,sex,Male
Urban,dm_controlled,2.5,2.4,2.6,Proportion,"2.5 (2.4, 2.6)",182305,sex,Male
